NB551104	165	Plate_386_Q5	C09	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	D09	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	E09	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	F09	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	G09	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	H09	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	A10	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	B10	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	C10	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	D10	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	E10	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	F10	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	G10	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	H10	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	A11	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	B11	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	C11	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	D11	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	E11	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	F11	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	G11	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	H11	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	A12	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	B12	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	C12	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	D12	Q5	02232_CB_facs_presort_Plate_1
NB551104	165	Plate_386_Q5	E12	Q5	ERCC
