,SS02232_35c_r14,SS02232_35c_r09,SS02232_35c_r05,SS02232_35c_r02,SS02232_35c_r04,SS02232_35c_r13,SS02232_35c_r12,SS02232_35c_r03,SS02232_35c_r06,SS02232_35c_r10,SS02232_35c_r08,SS02232_35c_r01,SS02232_35c_r07,SS02232_35c_r11,SS00238_r6,SS00238_r3,SS00238_r2,SS00238_r4,SS00238_r1,SS00238_r7,SS00238_r5,50pg_CBqRNA_r3,50pg_CBqRNA_r5,50pg_CBqRNA_r1,50pg_CBqRNA_r2,50pg_CBqRNA_r6,50pg_CBqRNA_r4,50pg_CBqRNA_r7,50pg_CBqRNA_r8
EGFP,1.428538776,3.870995214,0.60642299,1.191702651,1.156660398,0.403383093,1.635211199,0.595560336,0.447438304,2.078192405,0,0.460878342,0.469523246,2.278431637,1.175496372,1.252709375,1.732094616,0.779482817,1.202892523,0.822324465,2.103341921,0,0,0,0,0,0,0,0
ERCC-00002,6938.412836,8609.093355,12913.17114,11183.53353,11819.9126,9742.911853,9819.44325,11733.13418,8004.671256,8795.325896,11722.85142,9212.497177,10395.24467,11930.32374,1231.920198,1182.035688,921.1444131,1162.468708,718.9287649,1515.426513,1242.54924,1022.892174,591.720664,991.5466993,1198.383704,976.6650451,969.2804759,765.3424226,620.6646
ERCC-00003,186.6624001,936.1356758,585.1981851,311.6302433,609.5600295,477.2021994,482.0602615,346.6161155,297.5464721,507.4945853,456.9383976,197.2559304,184.992159,641.1506627,78.43766701,85.39302243,74.56254919,63.65776339,22.53418661,78.12082413,79.13823978,61.83154187,43.87630052,116.8434736,47.74161408,61.6107955,45.13051951,69.15344218,41.42291094
ERCC-00004,1625.677127,1906.465143,3825.316219,2913.117131,3259.469,2245.633681,1889.977104,3009.366377,2037.634036,1973.035869,2796.0652,3186.512856,2559.371214,1982.691211,479.7093831,395.3342004,493.6469656,396.3670125,350.8436527,554.8340637,484.4697558,193.8915017,106.0343929,289.6744449,223.4861065,227.1563243,205.1387251,141.6315691,113.403707
ERCC-00009,393.8005227,172.259287,596.7202219,481.4478711,473.0741026,467.5210052,593.9087075,197.1304712,298.888787,438.0829589,583.0806127,333.6759196,432.4309097,1124.633856,77.79648717,55.01482007,48.58112995,42.87155494,35.92639003,19.26588746,28.65803368,58.7781324,17.06300576,88.44401818,95.48322816,72.32571645,115.9033797,58.51445107,42.78103917
ERCC-00012,0,0,0,0,0,0,0,0,1.789753215,0,0,0,0,0,0.213726613,0,0,0,0.962314019,0,0,0,0,0.811413011,0,0,0,0,0
ERCC-00013,0.476179592,0,0,0,0,0,0,0,0,0,0,0,0,79.7451073,0,0,0,0,0,0,0.087639247,0,0,9.73695613,0,0,0,0,0
ERCC-00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104392448,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00019,0,0,1.212845979,0.595851326,0.578330199,78.6597032,0,38.71142183,0,0,0,0.921756684,0,0,0.534316533,0.104392448,0,5.001681409,6.736198131,0,0,2.290057106,0,4.868478065,0,0,6.154161752,0,0
ERCC-00022,198.5668899,136.7751642,114.6139451,91.76110414,182.1740126,33.88417984,103.3453478,269.1932718,99.77874176,71.07418025,98.40139604,72.35789969,0,115.2886408,8.442201217,18.26867839,17.56838825,6.105948734,6.014462617,3.171822935,12.09421605,12.97699027,10.96907513,0,13.14624156,0,15.38540438,4.654558608,21.73005164
ERCC-00024,0.476179592,0.645165869,1.819268969,0,0,1.21014928,0,1.786681008,2.237191519,0,1.046823362,0,0.939046492,0.455686327,0.961769759,0.835139584,1.154729744,0.519655211,0.240578505,1.292224159,0.964031714,0,0,0,1.383814901,1.607238143,1.025693625,0.664936944,2.037192342
ERCC-00025,0,0,0,1.787553977,1.734990596,0,0,0,25.50398332,0,0,0,0,77.46667566,0,3.966913022,1.319691136,0,5.934269782,4.816471864,5.87182953,0,3.046965314,0,0,0,0,0,0.679064114
ERCC-00028,0.476179592,0,0,0,0,0,0,39.30698217,0,0,0,0,0,0,0,0,0.907287656,0,0.16038567,0,0.175278493,0,0,0,0,0,0,0,0
ERCC-00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064956901,0,0,0,0,0,0,0,0,0,0,0
ERCC-00033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00034,0,1.935497607,0,48.8598087,0,0,0,0,0,0,22.50670229,0,0,0,0,0,0.164961392,0.129913803,0,0,8.501006931,8.396876057,0,0,0,0,10.25693625,0,0
ERCC-00035,0.476179592,0,0,0,0,0,0,0,35.79506431,0,39.25587608,41.01817243,0,60.15059522,0,0,8.413030993,0,0,0,0.78875322,6.870171319,6.093930628,0,4.151444703,5.893206526,0,0,7.469705252
ERCC-00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.415426792,0,0,0,0,0,6.919074505,0,0,0,0
ERCC-00040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00042,23.33280001,3.225829345,45.48172423,128.7038863,153.2575027,184.7494567,51.67267389,195.9393505,134.6789295,118.4569671,82.17563393,195.8732953,58.69040576,142.1741342,32.80703511,32.04848152,16.08373572,33.06306282,11.78834673,37.12207583,24.27607134,29.00739001,0.609393063,27.58804237,37.36300232,6.964698621,9.231242628,29.25722554,4.753448797
ERCC-00043,4.761795921,79.35540188,259.5490396,109.6366439,314.0332979,29.85034891,404.2242084,294.8023663,48.77077512,167.0866694,362.724295,334.5976763,213.633077,598.3161479,43.60022907,31.00455704,30.84778031,36.3758648,42.34181683,54.86078928,49.51617439,17.55710448,0,34.07934646,37.36300232,17.67961958,23.59095338,7.314306384,19.6928593
ERCC-00044,0,28.38729823,35.1725334,48.8598087,79.80956743,0,0,47.64482687,8.948766077,0,33.49834759,0,52.11708032,0.455686327,5.236302021,0,0,0,9.382561683,4.933946787,0,7.633523688,0,6.491304087,0,0,0,0,0
ERCC-00046,1077.118237,1008.394253,2541.51875,2206.437459,2280.934304,1002.406987,1324.194029,1870.059455,1259.538825,1343.759209,2115.630015,1320.877328,1477.120132,1542.953905,273.2494748,164.8356753,260.3915573,209.7458347,214.9969904,286.1689137,208.8443249,119.0829695,100.5498554,135.5059728,101.0184878,122.6858449,125.1346223,88.43661356,87.59927069
ERCC-00048,0,0,0,0,0,0,0,0,0,0,0,0,0.469523246,0,0,0.104392448,0.082480696,0.259827606,0,0,0,0,0,0,0,0,0,0,0
ERCC-00051,0.476179592,0,1.819268969,1.191702651,1.734990596,2.016915467,0,1.786681008,0.447438304,2.493830886,0,0.921756684,0,0,0,0,0.577364872,0.194870704,0.481157009,0,1.051670961,0,0,0,0,0,0,0,0
ERCC-00053,0,0,0,39.92203881,0,0,86.66619355,0,28.18861314,0,0.523411681,5.530540103,0,0.455686327,0,0,6.845897769,6.040991832,0,10.45526819,0,0,7.312716753,7.302717098,8.302889406,0,0,0,0
ERCC-00054,0,0,1.819268969,0.595851326,0.578330199,1.21014928,1.962253439,0,0,0.415638481,1.046823362,0,0,0.911372655,0.641179839,0.313177344,0,0.45469831,0.801928349,0,0.175278493,0.763352369,0,0,0,0,1.025693625,1.329873888,0
ERCC-00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.329873888,0
ERCC-00059,0,0,0,28.0050123,24.86819855,0,0,0,0,2.493830886,0,0.460878342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.994810832,1.358128228
ERCC-00060,83.33142861,121.9363492,331.1069524,221.0608418,109.3044076,119.4013956,94.18816506,296.5890473,209.8485645,71.90545721,260.1356055,106.462897,105.6427304,117.1113861,55.99637263,16.28522188,31.26018379,32.86819212,35.52542586,44.17057124,46.09824377,3.816761844,11.57846819,17.85108624,14.53005646,6.428952574,24.61664701,3.989621664,6.111577025
ERCC-00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064956901,0,0,0,0,0,0,0,0,0,0,0
ERCC-00062,70.47457963,0,55.18449207,0,5.204971789,0,44.15070237,0,37.58481752,83.54333468,115.6739815,0,100.4779747,0,0,0,6.103571505,0.064956901,0.080192835,6.343645869,8.851563918,3.816761844,0,12.98260817,0,1.071492096,0,0,0
ERCC-00067,0,0,0,0,0,0.806766187,0,0,0,0,0,0,0,0,10.90005727,0,0,1.234181127,0,0.117474924,0,0,0,0,0,0,0,0,0
ERCC-00069,0,0,0,0,0,0,0,0,0,0,0,0,30.98853424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00071,27.14223675,43.22611322,0,0,0,43.16199099,10.46535167,0,37.58481752,0,0,11.06108021,0,73.36549871,0,8.351395837,8.165588905,0,4.651184424,12.33486697,17.87840633,3.816761844,0,0.811413011,2.075722351,12.3221591,0,0,0
ERCC-00073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104392448,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00074,5373.686697,6751.660818,8893.193145,7228.27243,9263.693124,5931.748387,6571.913809,7783.37803,6092.319945,5775.296693,7890.431092,6337.53808,6723.103361,8784.265333,1383.23864,855.2873261,1458.093744,963.3108481,1007.141813,1667.674014,1185.846647,665.6432656,408.9027451,766.7852952,734.1138049,589.3206526,747.7306529,413.5907792,283.8487996
ERCC-00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00076,7.142693881,0,47.3009932,0,85.59286942,73.01233989,72.60337723,76.82728333,87.25046925,57.35811037,58.0986966,130.8894491,105.1732071,125.7694264,4.274532262,8.664573181,6.351013593,16.75888057,7.69851215,20.32316177,0,9.160228426,0.609393063,0,7.610981955,0,0,0,1.358128228
ERCC-00077,0,0,0,0,0,0,0,0,0.894876608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00078,0,0,66.70652887,0,25.44652875,0,0,2.382241344,85.90815434,0,0,0,0.469523246,65.16314482,0.961769759,9.604105212,0,5.521336621,0,12.56981682,0,9.923580794,0,0,0,4.82171443,0,1.994810832,0
ERCC-00079,9.04741225,0,49.12026217,0,119.7143511,25.00975179,56.90534972,0,52.79771985,0.415638481,131.8997436,11.52195855,49.29994084,54.22667296,17.73930889,0,8.577992385,5.846121128,0,9.163044034,0,0,3.656358377,0.811413011,0.69190745,4.82171443,7.179855377,0,0
ERCC-00081,0,0,0,0,0,0,0,0,0,0.831276962,0,0,0,0,0.106863307,0.104392448,0,0,0.16038567,0,0.087639247,0,0,0,0,0.535746048,0,0,0
ERCC-00083,0,0,0,0.595851326,0,0.403383093,0,0,0,0,0,0,0,0,0.106863307,0,0,0.064956901,0,0,0.087639247,0,0,0,0,0,0,0,0
ERCC-00084,0,0,0,0,104.677766,0,0,69.6805593,0,0,0.523411681,9.217566839,0,0.455686327,8.228474604,6.994294013,0.082480696,0,0,10.80769296,1.840424181,3.053409475,0,0,15.22196391,0,7.179855377,0,0
ERCC-00085,0,0,1.819268969,0,0,0,0,0,0.447438304,0,0.523411681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.659747776,0.679064114
ERCC-00086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00092,55.71301227,261.9373428,246.8141568,156.1130473,426.8076867,106.4931366,163.8481621,416.2966748,63.08880084,0,282.1188961,0,54.93421979,145.8196248,27.35700648,38.83399064,6.433494289,20.00672564,0,19.38336238,0,11.45028553,11.57846819,21.90815129,34.59537252,0,0,22.6078561,17.65566696
ERCC-00095,0.476179592,0,55.18449207,29.79256628,97.73780359,50.82626976,18.64140767,11.31564638,42.95407717,18.70373164,176.9131482,57.1489144,32.39710398,23.69568903,20.94520808,13.15344844,16.5786199,4.417069297,13.71297477,15.03679021,20.0693875,1.526704738,1.828179188,15.41684721,4.151444703,7.500444669,9.231242628,7.314306384,8.148769366
ERCC-00096,5427.018811,7228.438395,8782.217737,6977.419022,8979.154666,7869.197385,8235.25064,7757.768936,5671.72794,7973.608619,5878.43659,5876.659738,6063.4232,9640.955629,707.7556793,773.6524318,944.3214886,721.8660455,572.5768412,890.4599202,905.839254,881.671986,471.6702306,880.3831168,851.7380715,789.6896745,950.8179907,500.0325819,584.674202
ERCC-00097,0,0,1.819268969,0,0,0,0,0,0,0,0,0,0,0,0.106863307,0.417569792,0.082480696,0.064956901,0.080192835,0.234949847,0,0.763352369,0,0,0,0,0,0,2.716256455
ERCC-00098,0.952359184,0,0,1.191702651,1.156660398,0.403383093,0.32704224,1.191120672,0.894876608,0.415638481,1.046823362,0.460878342,0.469523246,0.455686327,0.534316533,0.835139584,0.659845568,0.714525916,0,0.587374618,1.139310207,0,0.609393063,0,0,0.535746048,0,0,0
ERCC-00099,0,0,0,0,1.156660398,0.403383093,0.32704224,0,0.894876608,0,1.046823362,0.460878342,0.469523246,0.911372655,4.488258875,0.313177344,6.515974985,0.324784507,0.240578505,0.117474924,0,0,0,0,0.69190745,0,6.154161752,0,0.679064114
ERCC-00104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00108,547.6065309,850.9737811,572.4633023,544.0122602,490.4240086,519.1540411,173.0053449,568.7601208,143.1802572,327.523123,475.7812181,282.979302,171.8455081,944.1820704,18.70107865,53.13575601,38.76592713,35.07672677,21.97283676,35.82985167,37.24667985,44.27443739,47.5326589,32.45652043,68.4988376,48.75289035,60.51592389,63.83394663,13.58128228
ERCC-00109,0.476179592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259827606,0.080192835,0,0.438196234,0,0,0,0,0,0,0,0
ERCC-00111,42.85616329,141.2913253,46.69457021,84.61088823,200.1022488,131.5028884,223.3698498,192.3659885,50.56052834,178.3089083,281.5954844,4.608783419,195.3216704,107.5419733,17.31185566,14.19737292,12.12466231,30.39982986,16.84049533,17.9736633,20.24466599,8.396876057,9.140895942,22.7195643,6.919074505,8.036190717,9.231242628,2.659747776,0
ERCC-00112,0,178.7109457,0,11.91702651,68.24296346,0.806766187,80.77943323,44.07146486,62.19392424,61.93013367,92.64386755,26.27006549,35.6837667,58.78353624,1.389222985,9.812890108,0,0,0.801928349,18.56103791,5.784190283,0,0,0,2.075722351,0,10.25693625,9.309117216,0
ERCC-00113,1001.881862,1078.717333,1509.993244,2130.76434,2002.179148,1870.487404,1683.286408,2069.572167,1110.54187,1500.039278,1638.278562,1504.767786,1503.413434,1784.467658,164.7832187,72.76153623,93.36814789,132.9667772,113.3124757,222.0276054,120.416325,145.0369501,96.89349698,137.9402118,116.9323591,118.3998766,127.1860095,118.358776,97.78523239
ERCC-00116,46.66560002,0,0,33.36767423,0,31.46388128,24.52816798,0,0,27.01650126,0,11.52195855,0,0,0,0,5.856129417,0,0,0,0,6.10681895,0,14.6054342,4.843352153,0,0,0,0
ERCC-00117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087639247,0,0,0,0,0,0,0,0
ERCC-00120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106863307,0,0.164961392,0.129913803,0.080192835,0,5.521272543,0,0,0,0,0,0,0,0
ERCC-00123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00130,5463.20846,7708.441802,10909.54959,7652.518574,10625.08241,8205.618884,6882.930979,9482.511669,5888.735517,8173.530728,8067.344241,7396.175632,7562.610925,8577.839427,907.4831992,979.5143392,984.4895876,836.9696748,707.8621536,1067.847055,1203.900332,862.5881767,459.4823693,1067.008109,1111.895273,717.8997041,771.3216062,614.4017363,465.158918
ERCC-00131,49.04649798,0,41.84318629,44.09299809,108.7260774,63.33114565,90.26365818,104.8186191,2.684629823,41.14820962,115.1505698,98.62796518,33.33615047,50.12549601,0.32058992,0.313177344,9.320318649,6.040991832,6.094655452,7.165970334,9.640317138,0,10.35968207,8.925543119,0,3.214476287,0,0,0
ERCC-00134,0,0,0.60642299,0,0,0.806766187,0,0,1.789753215,0,0,0.460878342,0,0.455686327,0.427453226,0.313177344,0.82480696,0.324784507,0.400964174,0.469899694,0,0.763352369,0.609393063,0,0,0,1.025693625,0,0
ERCC-00136,209.0428409,740.0052517,1805.927663,1458.048194,639.0548697,1356.17396,715.2413784,1320.952825,424.1715121,874.503364,1023.269837,893.1822267,941.3941084,757.8063625,113.8094215,80.27779248,87.51201847,135.4351395,33.19983365,128.1651415,77.21017635,158.0139403,53.62658953,132.2603208,67.80693015,111.4351779,58.46453664,62.50407274,47.53448797
ERCC-00137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106863307,0,0,4.417069297,0,0,0,0,0,0.811413011,0,0,0,0,0
ERCC-00138,0,0,1.212845979,0,0,0,0,0,0,0,0.523411681,0,0,0,0,0.417569792,0,0.064956901,0,0,0.26291774,0,0,0.811413011,0,0,0,0,0
ERCC-00142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00143,0,78.06507014,0,0,0,0,18.31436543,0,1.342314912,0,0,0,1.408569738,0,0.106863307,0.208784896,0.082480696,0.324784507,0.080192835,6.931020487,0.26291774,5.343466582,0.609393063,0,0.69190745,0,0,0,0
ERCC-00144,0,1.935497607,0,0,58.41135008,0,0,0,0,0,0.523411681,15.20898528,0,0,0.106863307,0.417569792,0.247442088,0.519655211,4.651184424,7.400920181,0,0.763352369,0,0.811413011,0,0,1.025693625,0,0
ERCC-00145,34.76111022,82.58123122,387.5042904,251.4492594,178.1257012,53.24656832,349.9351966,188.1970662,100.6736184,261.0209661,120.9080983,234.1261977,271.3844362,391.4345552,11.32751049,58.35537841,29.52808917,11.82215606,23.8974648,34.30267766,23.66259661,22.1372187,10.96907513,26.77662936,13.83814901,15.00088934,15.38540438,31.25203637,4.753448797
ERCC-00147,0.476179592,0,0,0,1.734990596,0.806766187,0.65408448,0,0.447438304,0,0.523411681,0,0,0,0,0.104392448,0,0.064956901,0.080192835,0.352424771,0,0,0.609393063,13.79402118,0.69190745,0.535746048,0,1.994810832,0
ERCC-00148,0,0,0,0.595851326,0,0,0,0.595560336,22.37191519,0.415638481,0,0,0,0,0,0.104392448,0,0.064956901,0,0.117474924,0.26291774,0,0,0,0,0,0,0,0
ERCC-00150,0,0,0,0,0,0,0,4.168922351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.142984191,0,0,0
ERCC-00154,0,0,0,0,0,0,0,11.91120672,0,0,0,0,0,0,0,0,0,6.040991832,0,0.117474924,0,0,0,0,0,0,0,0,0
ERCC-00156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117474924,0,0,0,0,0,0,0,0,0
ERCC-00157,1.428538776,0,0,0,0,0,0,58.96047326,0,0,0,53.00100932,0,0,0,0,5.526206633,0,0,11.74749235,0,9.923580794,0,0,0,0,0,0,0
ERCC-00158,0,0,0,0.595851326,0,0,0,0,0.447438304,0,0,0,0.469523246,0.455686327,0,0.104392448,0.082480696,0.129913803,0,7.165970334,0.175278493,0,0,0,0,0,0,0,0
ERCC-00160,0.476179592,83.87156296,0,124.532927,0,0,0,0,0.894876608,41.97948658,0,0,0,0.455686327,0,0,0,0,5.453112773,0,0,0,0,0,0,0,0,0,0
ERCC-00162,0,20.64530781,26.68261155,21.45064772,0.578330199,16.94208992,3.597464638,0,19.23984707,0,45.53681625,25.80918715,0,3.189804292,11.00692057,0,0,3.117931268,2.566170717,1.527174006,0,0,0,0,0,3.214476287,1.025693625,0,0
ERCC-00163,0,0,57.61018403,0,0,0,18.96844991,0,0,0,0,70.05350798,28.17139477,25.97412066,0,0,0,0,0,0,0,0,0,0,0,0,1.025693625,0,0
ERCC-00164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC-00165,0,17.41947846,0,0,0.578330199,0,0,33.94693915,0,0,0.523411681,0,30.98853424,0,0,7.933826045,9.320318649,6.430733241,0,0,2.015702674,0,0,4.057065054,4.843352153,0,0,0.664936944,0
ERCC-00168,0,0,0,0,0,0,2.943380158,0.595560336,0,0,0,0,0,0,0.213726613,0,0.082480696,0,0.16038567,0.117474924,0,0,0,0,0,0,0,0,0
ERCC-00170,0,81.93606535,0,0,0,0,0,0,0,0,0,0,0,0.455686327,0,17.32914636,0,0,0,0.117474924,0,0,1.828179188,0,6.919074505,0,0,0,0
ERCC-00171,585.2247187,720.0051097,1346.86546,1035.589604,1184.998577,629.6810087,738.7884197,991.6079593,872.5046925,589.7910045,1000.239723,1002.410394,829.6475759,851.6777459,233.6031881,145.9406422,190.7778499,166.8093228,148.2765517,202.8791929,159.2405113,36.6409137,27.42268783,43.81630259,56.04450349,44.46692197,45.13051951,41.22609053,29.87882101
FBgn0000008,0,0,0,0,0,0,0,0,0,0,0,41.01817243,0,0,26.92955325,28.60353074,33.73460467,25.33319155,39.69545327,25.72700825,24.53898908,12.97699027,8.531502879,12.17119516,5.535259604,15.53663539,26.66803426,9.97405416,4.074384683
FBgn0000014,0,0,0,0,0,0,0,0,0,0,0.523411681,0,0,0,0,0,0.082480696,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106863307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000017,42.3799837,109.6781977,75.19645073,124.532927,98.89446399,164.176919,132.4521071,164.970213,107.8326312,330.0169539,80.60539889,101.8541136,171.3759848,59.23922256,14.640273,28.91670808,8.990395865,9.418750706,23.73707913,40.52884861,6.310025763,144.2735977,143.8167628,120.0891256,104.478025,136.6152422,122.0575414,162.2446143,248.5374657
FBgn0000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427453226,0.52196224,6.103571505,0.129913803,1.363278193,0.117474924,0,0,0,4.868478065,6.919074505,0,0,0,0
FBgn0000022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000024,2953.26583,2452.275468,1658.566877,1760.144816,983.1613379,1918.086609,2774.626362,1870.655015,1607.645826,2792.259315,1575.46916,1475.732451,1447.540168,2358.176744,363.6558322,362.4505793,321.9221565,298.0222637,380.5150016,321.2939158,354.500753,1505.330871,1619.766761,1643.111347,1610.760545,1569.73592,1771.372891,1414.985817,1505.48514
FBgn0000028,40.95144492,0.645165869,0,0.595851326,1.156660398,1.21014928,0.65408448,1.191120672,1.342314912,0.831276962,1.046823362,0,0,0.455686327,0.427453226,0.730747136,0.164961392,0.064956901,1.122699689,0.234949847,0.26291774,16.79375211,25.59450864,26.77662936,16.60577881,29.46603263,25.64234063,24.60266693,32.59507746
FBgn0000032,146.6633144,22.58080541,0,60.77683521,72.86960505,0.403383093,57.88647644,22.63129276,26.39885993,35.74490936,43.44316953,0.460878342,125.3627067,0,11.96869033,29.33427788,25.81645785,23.64431212,24.93997165,39.00167461,5.170715556,86.25881767,77.39291897,43.81630259,71.95837485,73.39720855,73.84994102,14.62861277,51.60887265
FBgn0000036,6.666514289,97.42004621,5.457806908,11.91702651,18.50656636,52.84318523,0.65408448,131.0232739,2.684629823,168.7492233,78.51175216,47.00959088,8.45141843,27.34117964,27.46386978,44.67996773,30.18793474,17.14862198,67.92333116,56.85786298,24.36371059,110.6860935,71.29898835,55.17608474,76.10981955,110.3636858,81.0297964,132.9873888,177.2357337
FBgn0000037,554.2730452,346.4540716,265.0068465,311.6302433,268.9235424,432.8300591,571.9968774,176.2858594,374.5058603,289.2843828,288.3998363,458.1130719,400.0338057,406.9278904,327.4291713,189.472293,241.3385165,290.2923924,346.5132396,293.0999342,185.7075638,209.1585491,197.4433523,147.677168,197.8855308,217.5128954,211.2928868,210.1200743,190.817016
FBgn0000038,1102.831935,1141.943588,904.7831007,1064.190467,1439.463865,764.4109619,1239.817131,1294.15261,1379.899729,1249.824912,1773.842187,999.6451237,721.187706,912.2840275,641.6072925,976.4869582,740.7591309,624.8204348,728.7122907,743.7337407,751.3312621,600.7583142,656.3163286,572.8575857,680.8369313,647.7169718,533.3606852,578.4951413,699.4360373
FBgn0000039,3.333257145,69.03274797,55.18449207,57.79757858,8.096622783,17.74885611,45.45887133,161.9924114,129.3096698,117.6256901,0,53.00100932,196.7302401,113.4658955,39.2188335,41.1306245,67.63417073,68.20474649,49.3987863,46.52006971,54.68688995,68.70171319,80.43988429,127.3918427,122.4676187,114.1139082,107.6978307,105.7249741,99.82242473
FBgn0000042,1127.117094,1025.168566,773.7957349,1047.50663,517.6055279,1554.638442,574.2861731,907.0383916,809.86333,1166.281578,1195.995691,1408.444213,592.0688133,594.2149709,1561.914089,1455.335117,1494.962615,1630.872924,1312.516129,1718.658131,1641.921287,1379.37773,1422.323409,1477.583093,1425.329348,1415.441058,1309.81076,1530.019908,1306.519355
FBgn0000043,81.42671025,0,52.75880011,10.12947253,10.40994358,173.4547301,36.30168862,0,0,46.96714835,1.570235043,91.71479005,78.87990534,3.189804292,34.08939479,56.05874455,47.5913616,47.15871043,11.46757539,26.66680764,16.56381763,77.86194162,71.29898835,33.26793344,102.4023027,58.39631921,114.877686,65.82875746,38.70665449
FBgn0000044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104392448,0,0.064956901,0,0,0,5.343466582,24.98511557,4.868478065,0,10.17917491,2.051387251,13.29873888,0
FBgn0000045,0,0,0,0,0,16.13532373,0,0,0,0,0,0,0,0,0,0,0,0.129913803,0.561349844,0.117474924,0.087639247,20.61051396,14.62543351,12.98260817,22.14103841,40.71669963,58.46453664,37.23646887,32.59507746
FBgn0000046,1.428538776,1.290331738,0,0,0,0.806766187,0.65408448,0.595560336,0.447438304,1.246915443,1.046823362,0.460878342,0,1.82274531,0.854906452,0.835139584,0.41240348,0.389741409,0.16038567,0.469899694,0.52583548,0,0,0,0.69190745,0,1.025693625,0,0
FBgn0000047,0,0,0,0,0,0,0.32704224,0,0,0,0,0,0,0,0,0,0.082480696,0,0,0,0,0,1.828179188,0,2.075722351,0,0,0,0
FBgn0000052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.816761844,1.828179188,0,0,1.071492096,3.077080876,5.984432496,2.037192342
FBgn0000053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082480696,0,0.080192835,0,0,0.763352369,14.62543351,16.22826022,16.60577881,0.535746048,4.102774501,1.994810832,0
FBgn0000055,0,0,0,0,0,0.403383093,0.65408448,0,0,0,0,0,0,2.734117964,0,0,0,0,0,0,0,0.763352369,0,0,0,0,0,0,2.716256455
FBgn0000056,2.38089796,1.290331738,0,1.191702651,0,0.806766187,0.981126719,0,0.447438304,2.078192405,38.7324644,0,0.469523246,42.37882845,8.228474604,0,0,0,8.420247664,0,6.748221997,1062.586497,922.011704,1153.829301,931.3074283,1066.134635,1006.205446,1132.387616,1042.363415
