,SS02232_35c_r14,SS02232_35c_r09,SS02232_35c_r05,SS02232_35c_r02,SS02232_35c_r04,SS02232_35c_r13,SS02232_35c_r12,SS02232_35c_r03,SS02232_35c_r06,SS02232_35c_r10,SS02232_35c_r08,SS02232_35c_r01,SS02232_35c_r07,SS02232_35c_r11,SS00238_r6,SS00238_r3,SS00238_r2,SS00238_r4,SS00238_r1,SS00238_r7,SS00238_r5,50pg_CBqRNA_r3,50pg_CBqRNA_r5,50pg_CBqRNA_r1,50pg_CBqRNA_r2,50pg_CBqRNA_r6,50pg_CBqRNA_r4,50pg_CBqRNA_r7,50pg_CBqRNA_r8
FBgn0020510,127.1399511,32.25829345,0,40.51789014,19.66322676,16.13532373,58.21351868,88.14292972,53.69259646,156.6957073,42.91975785,95.86269512,12.67712764,19.59451208,28.31877624,47.70734872,24.49676672,48.65271916,32.3979053,39.4715743,35.66917341,70.9917703,31.0790462,81.14130108,39.43872468,45.00266802,55.38745577,55.18976635,56.36232145
FBgn0020513,0,0,0,0,5.204971789,0,10.13830943,0,1.342314912,1.246915443,0,35.02675399,0,55.13804562,0,0.417569792,0,0,4.811570094,6.108696022,0.52583548,26.71733291,12.79725432,1.622826022,7.610981955,8.571936765,24.61664701,21.94291915,23.76724398
FBgn0020521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.875144502,0,0,1.607238143,3.077080876,0,0
FBgn0020545,53.33211431,3.225829345,27.89545753,25.02575567,25.44652875,4.033830933,65.7354902,30.37357713,38.92713244,12.46915443,32.45152423,2.30439171,33.33615047,38.73333783,22.7618843,28.70792319,38.84840782,22.60500169,25.90228567,43.81814647,34.5298632,54.19801818,33.51661845,87.63260517,17.29768626,47.14565221,63.59300477,51.20014469,49.57168031
FBgn0020616,50.95121635,43.22611322,0,21.45064772,0,1.613532373,31.06901278,16.67568941,1.789753215,0.415638481,18.31940884,0.460878342,22.06759257,33.72078823,9.29710767,20.87848959,1.979536704,4.482026198,1.603856698,0.939799388,6.835861244,25.95398054,20.10997107,37.3249985,20.06531606,21.42984191,8.205549003,14.62861277,8.148769366
FBgn0020617,84.75996739,60.00042581,161.3085153,86.39844221,101.786115,40.74169243,91.2447849,128.0454722,202.6895516,140.0701681,75.37128208,94.94093844,219.2673559,66.98589013,0,0,0,0,0,0,0,9.160228426,2.437572251,4.868478065,19.37340861,0,3.077080876,4.654558608,2.037192342
FBgn0020618,521.4166533,316.7764416,808.3618453,431.3963597,722.3344183,269.0565232,404.8782929,532.4309403,363.767341,507.4945853,500.9049788,815.7546652,367.6367017,286.1710136,765.9961813,577.0814523,475.4187318,756.423117,631.5987677,593.3658386,585.5178073,460.3014784,497.8741323,334.3021605,394.3872468,387.8801386,349.7615262,608.4173038,518.1259189
FBgn0020620,373.8009798,412.9061561,474.829201,196.0350861,160.7757953,469.5379206,346.3377319,266.2154702,350.3441919,305.078645,459.555456,337.3629463,222.5540186,480.2933891,197.9108437,177.7803389,111.4314203,167.0041936,182.7594707,195.3607978,153.1934033,385.4929462,267.5235546,391.9124842,242.1676077,304.8395012,368.2240115,372.3646887,375.522455
FBgn0020621,2.38089796,0,6.064229897,10.72532386,5.204971789,4.437214027,57.23239196,0,6.711574558,9.144046581,8.897998578,35.02675399,5.634278953,74.73255769,37.08156737,28.49913829,18.5581566,8.314483382,31.59597695,22.67266024,30.93665409,24.4272758,18.28179188,37.3249985,23.52485332,34.82349311,49.23329402,41.89102747,33.27414158
FBgn0020622,22.85662042,41.29061561,72.16433578,107.2532386,196.0539374,77.04617083,10.46535167,44.66702519,8.501327773,32.00416304,0,38.71378072,2.817139477,49.66980969,7.159841539,0,10.06264491,3.442715775,1.363278193,1.762123853,7.624614464,25.19062817,29.86026008,32.45652043,20.75722351,31.07327077,21.53956613,27.26241471,28.52069278
