Re-sort ID,ERCC ID,subgroup,concentration in Mix 1 (attomoles/ul),concentration in Mix 2 (attomoles/ul),expected fold-change ratio,log2(Mix 1/Mix 2),,copies/ul stock,diln factor,copies/rxn @ 1ul,,,
21,ERCC-00123,A,0.22888184,0.05722046,4,2,," 137,833 ",5.00E-08, 0 ,,,
22,ERCC-00017,A,0.11444092,0.02861023,4,2,," 68,916 ",5.00E-08, 0 ,,,
23,ERCC-00083,A,0.02861023,0.00715256,4,2,," 17,229 ",5.00E-08, 0 ,,,
24,ERCC-00096,B,15000,15000,1,0,," 9,033,000,000 ",5.00E-08, 452 ,,,
25,ERCC-00171,B,3750,3750,1,0,," 2,258,250,000 ",5.00E-08, 113 ,,,
26,ERCC-00009,B,937.5,937.5,1,0,," 564,562,500 ",5.00E-08, 28 ,,,
27,ERCC-00042,B,468.75,468.75,1,0,," 282,281,250 ",5.00E-08, 14 ,,,
28,ERCC-00060,B,234.375,234.375,1,0,," 141,140,625 ",5.00E-08, 7 ,,,
29,ERCC-00035,B,117.1875,117.1875,1,0,," 70,570,313 ",5.00E-08, 4 ,,,
30,ERCC-00025,B,58.59375,58.59375,1,0,," 35,285,156 ",5.00E-08, 2 ,,,
31,ERCC-00051,B,58.59375,58.59375,1,0,," 35,285,156 ",5.00E-08, 2 ,,,
32,ERCC-00053,B,29.296875,29.296875,1,0,," 17,642,578 ",5.00E-08, 1 ,,,
33,ERCC-00148,B,14.6484375,14.6484375,1,0,," 8,821,289 ",5.00E-08, 0 ,,,
34,ERCC-00126,B,14.6484375,14.6484375,1,0,," 8,821,289 ",5.00E-08, 0 ,,,
35,ERCC-00034,B,7.32421875,7.32421875,1,0,," 4,410,645 ",5.00E-08, 0 ,,,
36,ERCC-00150,B,3.66210938,3.66210938,1,0,," 2,205,322 ",5.00E-08, 0 ,,,
37,ERCC-00067,B,3.66210938,3.66210938,1,0,," 2,205,322 ",5.00E-08, 0 ,,,
38,ERCC-00031,B,1.83105469,1.83105469,1,0,," 1,102,661 ",5.00E-08, 0 ,,,
39,ERCC-00109,B,0.91552734,0.91552734,1,0,," 551,331 ",5.00E-08, 0 ,,,
40,ERCC-00073,B,0.91552734,0.91552734,1,0,," 551,331 ",5.00E-08, 0 ,,,
41,ERCC-00158,B,0.45776367,0.45776367,1,0,," 275,665 ",5.00E-08, 0 ,,,
42,ERCC-00104,B,0.22888184,0.22888184,1,0,," 137,833 ",5.00E-08, 0 ,,,
43,ERCC-00142,B,0.22888184,0.22888184,1,0,," 137,833 ",5.00E-08, 0 ,,,
