gene_id,E-PG_l1r1,E-PG_l1r2,E-PG_l2r1,E-PG_l2r2,P-EG_r1,P-EG_r2,D7_l1r1,D7_l1r2,D7_l2r1,D7_l2r2,P-EN2_l1r1,P-EN2_l2r1,wholebrain_1,wholebrain_2
ERCC-00076,0.0,3.43,2.24,0.0,0.0,1.67,1.71,0.15,0.0,0.0,74.9,0.06,0.0,0.0
ERCC-00077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00078,1.45,12.74,0.0,0.34,0.0,1.01,0.81,7.46,0.0,0.0,0.03,0.0,0.13,0.0
ERCC-00079,17.38,4.95,0.0,0.0,2.55,0.0,2.79,5.79,0.0,0.0,1.17,0.0,0.0,0.0
ERCC-00081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0
ERCC-00084,0.0,0.0,1.61,0.14,0.0,0.0,3.89,0.0,0.0,0.04,0.0,0.03,0.0,0.0
ERCC-00085,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
ERCC-00086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00092,7.37,8.01,0.0,2.19,0.11,6.95,11.37,61.58,0.73,0.67,0.0,34.72,0.0,0.0
ERCC-00095,78.36,24.68,21.69,5.09,7.53,13.84,99.8,91.41,23.95,14.47,51.26,56.5,0.31,0.0
ERCC-00096,910.06,630.73,167.81,186.43,158.02,197.37,893.58,1813.5,228.28,157.03,374.29,401.66,2.48,1.53
ERCC-00097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00099,0.48,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00104,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00108,71.01,30.21,12.89,28.39,2.41,13.79,24.08,105.25,7.84,2.69,13.68,11.02,0.65,0.28
ERCC-00109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00111,66.26,76.05,31.7,39.48,19.43,36.97,65.4,169.3,5.1,5.73,21.47,70.27,0.34,0.52
ERCC-00112,1.22,1.28,0.8,0.06,3.32,6.71,4.79,5.67,2.42,5.01,6.03,0.0,0.0,0.0
ERCC-00113,258.27,242.72,101.06,47.55,80.14,76.39,338.3,438.09,22.98,39.0,106.12,100.81,1.48,1.14
ERCC-00116,19.58,3.86,0.02,1.58,1.24,7.32,7.07,5.09,0.0,2.52,1.53,9.02,0.06,0.0
ERCC-00117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00126,7.56,0.0,0.0,0.0,2.01,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00130,2127.43,1479.83,441.68,538.17,422.95,921.43,1824.2,3406.08,495.89,356.85,863.31,1167.1,15.39,13.68
ERCC-00131,1.5,2.57,0.23,0.14,29.49,9.5,5.29,23.49,0.0,0.0,0.14,1.08,0.0,0.0
ERCC-00134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00136,267.27,65.65,37.64,48.95,52.28,50.01,96.52,213.62,14.19,13.0,37.34,27.67,1.03,0.94
ERCC-00137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00144,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00145,59.86,20.87,8.86,9.03,6.75,16.7,57.36,152.6,4.29,13.88,18.66,2.69,0.32,0.71
ERCC-00147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00148,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.17,0.0
ERCC-00150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0
ERCC-00154,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00157,3.39,0.0,0.0,0.0,0.0,0.0,10.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00160,1.69,1.27,0.0,0.0,0.0,0.0,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00162,0.0,0.0,0.0,0.0,0.07,0.0,12.53,1.82,0.47,0.0,0.0,0.07,0.0,0.0
ERCC-00163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25,4.06,0.0,0.0,0.0,0.0,0.0
ERCC-00164,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,2.04,0.0,0.0
ERCC-00165,1.89,7.76,0.35,0.0,0.18,8.1,6.03,1.77,2.29,0.0,5.05,0.08,0.08,0.0
ERCC-00168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERCC-00170,0.0,0.19,0.0,0.0,0.0,0.21,2.1,0.77,11.1,0.0,1.36,2.09,0.0,0.0
ERCC-00171,443.32,171.27,42.64,31.38,72.61,110.11,207.09,485.68,67.11,29.02,144.23,83.49,1.14,1.02
FBgn0000003,14.47,0.87,0.0,8.05,62.35,3.73,4.66,0.25,6.14,4.98,0.4,0.74,9.23,13.97
