"","P395_Q601A","P395_Q601B","P395_Q601C","P395_Q601D","P395_Q601E","P395_Q601F","P395_Q601G","P395_Q601H","P395_Q602A","P395_Q602B","P395_Q602C","P395_Q602D","P395_Q602E","P395_Q602F","P395_Q602G","P395_Q602H","P395_Q603A","P395_Q603B","P395_Q603C","P395_Q603D","P395_Q603E","P395_Q603F","P395_Q603G","P395_Q603H","P395_Q604A","P395_Q604B","P395_Q604C","P395_Q604D","P395_Q604E","P395_Q604F","P395_Q604G","P395_Q604H","P395_Q605A","P395_Q605B","P395_Q605C","P395_Q605D","P395_Q605E","P395_Q605F","P395_Q605G","P395_Q605H","P395_Q606A","P395_Q606B","P395_Q606C","P395_Q606D","P395_Q606E","P395_Q606F","P395_Q606G","P395_Q606H","P395_Q607A","P395_Q607B","P395_Q607C","P395_Q607D","P395_Q607E","P395_Q607F","P395_Q607G","P395_Q607H","P395_Q608A","P395_Q608B","P395_Q608C","P395_Q608D","P395_Q608E","P395_Q608F","P395_Q608G","P395_Q608H","P395_Q609A","P395_Q609B","P395_Q609C","P395_Q609D","P395_Q609E","P395_Q609F","P395_Q609G","P395_Q609H","P395_Q610A","P395_Q610B","P395_Q610C","P395_Q610D","P395_Q610E","P395_Q610F","P395_Q610G","P395_Q610H","P395_Q611A","P395_Q611B","P395_Q611C","P395_Q611D","P395_Q611E","P395_Q611F","P395_Q611G","P395_Q611H","P395_Q612A","P395_Q612B","P395_Q612C","P395_Q612D","P395_Q612E","P395_Q612F","P395_Q612G","P395_Q612H"
"ERCC-00002",5140,7120,7027,6486,5913,5625,399,5964,5534,8255,5624,6129,4482,6138,8,5438,6616,7316,6716,5986,4402,5516,7,5926,8544,5399,6548,7083,5197,4711,4,5688,6247,4680,7414,5881,5307,6042,20,6140,7615,5290,5100,6676,7648,3863,70,5763,7216,7578,5893,5844,6106,5985,1753,5727,5826,5774,9517,5419,4085,6250,7,6392,6934,4973,6679,8563,5426,4262,21,7650,5257,4846,6746,6158,6449,4330,1572,5324,4128,6098,6141,5627,3930,4972,3939,6672,3017,5205,7598,6695,4766,6523,5589,5137
"ERCC-00003",722,380,731,185,391,365,26,136,625,736,551,702,504,859,1,743,512,491,474,492,831,75,0,571,1029,483,779,773,606,323,0,232,489,70,410,256,539,170,0,126,363,282,533,251,234,223,0,588,461,506,4,677,293,362,279,616,153,259,289,267,474,477,0,547,496,325,442,1206,415,639,2,637,500,700,486,394,604,304,93,539,270,640,295,341,565,185,347,742,763,439,386,79,354,299,528,428
"ERCC-00004",2536,1932,2440,1972,2372,2113,113,2048,3298,2883,2133,2739,2454,2008,0,1952,2224,2486,2902,2765,2096,2558,4,1726,3276,2577,1992,2377,2092,1643,2,1662,1961,2346,2567,2691,1019,2862,0,2519,2424,2124,1846,2611,3015,1915,43,2698,1590,2581,2540,2226,2946,1907,1093,1730,1920,2322,1945,2690,1458,2221,2,1663,2401,1605,2791,3000,1728,2337,6,3062,1575,2317,2327,2141,3003,1884,967,1971,1986,2512,2852,2677,2146,1621,1657,2271,1822,2096,2401,2411,2275,1821,2568,1757
"ERCC-00009",262,167,286,113,468,97,7,147,113,6,215,105,222,192,0,133,400,199,333,207,110,234,0,387,247,153,136,147,123,144,0,59,340,336,263,319,157,127,0,272,205,192,304,226,146,526,0,684,52,34,1,153,247,0,9,408,84,244,162,96,141,27,1,392,426,151,416,471,19,225,0,398,99,211,173,107,250,130,145,257,110,487,100,350,323,339,142,257,169,246,110,0,472,304,301,225
"ERCC-00012",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00013",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00019",3,0,0,0,57,0,5,0,0,1,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,57,41,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,60,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,0,0,2,0,0,0,0,0,0,0,0
