"","id","total_reads","mapped_reads","genic_reads","total_counts","gene_counts","ERCC_counts","percent_gene","percent_ERCC","gendet","ERCCdet","sample","well"
"P396_Q701A","01A_62862",115877,81070,72815,40280,1269,39011,3.15044687189672,96.8495531281033,326,22,"62862_CB_facs_presort_Plate_2","01A"
"P396_Q701B","01B_62862",211378,178996,158735,80851,47849,33002,59.1817046171352,40.8182953828648,991,29,"62862_CB_facs_presort_Plate_2","01B"
"P396_Q701C","01C_62862",121263,93214,78090,43704,2797,40907,6.39987186527549,93.6001281347245,435,29,"62862_CB_facs_presort_Plate_2","01C"
"P396_Q701D","01D_62862",155189,105245,86923,47127,3057,44070,6.48672735374626,93.5132726462537,414,25,"62862_CB_facs_presort_Plate_2","01D"
"P396_Q701E","01E_62862",138816,118328,107336,60288,24121,36167,40.0096204883227,59.9903795116773,695,27,"62862_CB_facs_presort_Plate_2","01E"
"P396_Q701F","01F_62862",189697,100223,79752,40991,3998,36993,9.75336049376692,90.2466395062331,523,31,"62862_CB_facs_presort_Plate_2","01F"
"P396_Q701G","01G_62862",187013,92519,70411,38690,2445,36245,6.3194623933833,93.6805376066167,504,30,"62862_CB_facs_presort_Plate_2","01G"
"P396_Q701H","01H_62862",266635,223557,193902,104340,74182,30158,71.0964155645007,28.9035844354993,1318,29,"62862_CB_facs_presort_Plate_2","01H"
"P396_Q702A","02A_62862",133062,98401,86522,45194,3339,41855,7.38814886931894,92.6118511306811,339,31,"62862_CB_facs_presort_Plate_2","02A"
"P396_Q702B","02B_62862",112298,91302,85159,46130,6208,39922,13.4576197702146,86.5423802297854,420,26,"62862_CB_facs_presort_Plate_2","02B"
"P396_Q702C","02C_62862",116406,92508,82056,44068,7423,36645,16.8444222565127,83.1555777434873,351,28,"62862_CB_facs_presort_Plate_2","02C"
"P396_Q702D","02D_62862",261927,211605,171427,88377,52288,36089,59.1647148013624,40.8352851986377,1275,29,"62862_CB_facs_presort_Plate_2","02D"
"P396_Q702E","02E_62862",146748,93159,74172,39257,5164,34093,13.1543419008075,86.8456580991925,538,28,"62862_CB_facs_presort_Plate_2","02E"
"P396_Q702F","02F_62862",112692,79537,65100,36362,2282,34080,6.27578241020846,93.7242175897915,421,26,"62862_CB_facs_presort_Plate_2","02F"
"P396_Q702G","02G_62862",169999,103468,82212,40963,2865,38098,6.99411664184752,93.0058833581525,527,28,"62862_CB_facs_presort_Plate_2","02G"
"P396_Q702H","02H_62862",209230,160549,133253,66162,32316,33846,48.843747166047,51.156252833953,990,33,"62862_CB_facs_presort_Plate_2","02H"
"P396_Q703A","03A_62862",261896,217104,196188,102661,58573,44088,57.0547725036772,42.9452274963228,1022,34,"62862_CB_facs_presort_Plate_2","03A"
"P396_Q703B","03B_62862",102132,78146,67484,38750,2419,36331,6.24258064516129,93.7574193548387,344,28,"62862_CB_facs_presort_Plate_2","03B"
"P396_Q703C","03C_62862",114273,82429,72067,38905,1217,37688,3.12813263076725,96.8718673692327,302,26,"62862_CB_facs_presort_Plate_2","03C"
"P396_Q703D","03D_62862",362924,318048,287774,159495,122258,37237,76.6531866202702,23.3468133797298,1731,28,"62862_CB_facs_presort_Plate_2","03D"
"P396_Q703E","03E_62862",218042,182294,162832,84214,44451,39763,52.7833851853611,47.2166148146389,953,25,"62862_CB_facs_presort_Plate_2","03E"
"P396_Q703F","03F_62862",327354,288087,257237,143795,107985,35810,75.0964915330853,24.9035084669147,1655,26,"62862_CB_facs_presort_Plate_2","03F"
"P396_Q703G","03G_62862",116602,78441,64174,33846,1428,32418,4.21911008686403,95.780889913136,280,22,"62862_CB_facs_presort_Plate_2","03G"
"P396_Q703H","03H_62862",188219,115496,95540,46438,14683,31755,31.6185020888066,68.3814979111934,632,25,"62862_CB_facs_presort_Plate_2","03H"
"P396_Q704A","04A_62862",251782,129959,93341,47484,17076,30408,35.9615870609047,64.0384129390953,608,28,"62862_CB_facs_presort_Plate_2","04A"
"P396_Q704B","04B_62862",254050,152711,120900,60237,24292,35945,40.327373541179,59.672626458821,941,26,"62862_CB_facs_presort_Plate_2","04B"
"P396_Q704C","04C_62862",229321,196130,179305,87939,51950,35989,59.07504065318,40.92495934682,1043,27,"62862_CB_facs_presort_Plate_2","04C"
"P396_Q704D","04D_62862",271359,194681,160190,79491,39391,40100,49.554037564001,50.445962435999,988,27,"62862_CB_facs_presort_Plate_2","04D"
"P396_Q704E","04E_62862",382728,310973,266191,129726,91599,38127,70.6095925257851,29.3904074742149,1623,27,"62862_CB_facs_presort_Plate_2","04E"
"P396_Q704F","04F_62862",212457,176082,158246,81920,48634,33286,59.36767578125,40.63232421875,1049,30,"62862_CB_facs_presort_Plate_2","04F"
"P396_Q704G","04G_62862",106450,65873,49544,29345,954,28391,3.25097972397342,96.7490202760266,327,23,"62862_CB_facs_presort_Plate_2","04G"
"P396_Q704H","04H_62862",107209,88956,71528,37565,4515,33050,12.0191667775855,87.9808332224145,479,29,"62862_CB_facs_presort_Plate_2","04H"
"P396_Q705A","05A_62862",11694011,1537529,522902,159495,128663,30832,80.6689864886047,19.3310135113953,4589,76,"62862_CB_facs_presort_Plate_2","05A"
"P396_Q705B","05B_62862",158721,85670,72180,40627,1382,39245,3.40167868658774,96.5983213134123,385,29,"62862_CB_facs_presort_Plate_2","05B"
"P396_Q705C","05C_62862",208403,176673,157786,81747,45747,36000,55.9616866674006,44.0383133325994,935,28,"62862_CB_facs_presort_Plate_2","05C"
"P396_Q705D","05D_62862",257262,217646,196289,97705,64663,33042,66.181874008495,33.818125991505,1204,31,"62862_CB_facs_presort_Plate_2","05D"
"P396_Q705E","05E_62862",220636,163496,143165,73342,38980,34362,53.1482642960377,46.8517357039623,909,26,"62862_CB_facs_presort_Plate_2","05E"
"P396_Q705F","05F_62862",249746,199695,171553,83762,47821,35941,57.0915212148707,42.9084787851293,1299,26,"62862_CB_facs_presort_Plate_2","05F"
"P396_Q705G","05G_62862",198670,166389,150703,77458,37464,39994,48.3668568772754,51.6331431227246,914,30,"62862_CB_facs_presort_Plate_2","05G"
"P396_Q705H","05H_62862",95661,72223,67835,36947,554,36393,1.49944515116248,98.5005548488375,215,27,"62862_CB_facs_presort_Plate_2","05H"
"P396_Q706A","06A_62862",192063,162117,147540,74899,38256,36643,51.0767834016476,48.9232165983524,887,26,"62862_CB_facs_direct_Plate_2_1","06A"
"P396_Q706B","06B_62862",88750,72995,64491,35218,1456,33762,4.13424953148958,95.8657504685104,224,25,"62862_CB_facs_direct_Plate_2_1","06B"
"P396_Q706C","06C_62862",230647,199435,182553,99212,59356,39856,59.8274402290046,40.1725597709954,1159,29,"62862_CB_facs_direct_Plate_2_1","06C"
"P396_Q706D","06D_62862",509608,182789,94079,41168,5478,35690,13.3064516129032,86.6935483870968,1021,33,"62862_CB_facs_direct_Plate_2_1","06D"
"P396_Q706E","06E_62862",218757,183300,161315,80660,42093,38567,52.1857178279197,47.8142821720803,949,30,"62862_CB_facs_direct_Plate_2_1","06E"
"P396_Q706F","06F_62862",210071,182474,167423,88584,56418,32166,63.6887022487131,36.3112977512869,1164,26,"62862_CB_facs_direct_Plate_2_1","06F"
