"","id","total_reads","mapped_reads","genic_reads","total_counts","gene_counts","ERCC_counts","percent_gene","percent_ERCC","gendet","ERCCdet","sample","well"
"P388_Q701A","01A_02232",223866,175912,146412,79581,41776,37805,52.4949422600872,47.5050577399128,895,28,"02232_CB_facs_presort_Plate_3","01A"
"P388_Q701B","01B_02232",135889,100964,76354,41972,2568,39404,6.11836462403507,93.8816353759649,349,27,"02232_CB_facs_presort_Plate_3","01B"
"P388_Q701C","01C_02232",168114,136448,122453,65615,19528,46087,29.7614874647565,70.2385125352435,636,27,"02232_CB_facs_presort_Plate_3","01C"
"P388_Q701D","01D_02232",237882,185159,156276,79274,30451,48823,38.4123420036834,61.5876579963166,816,25,"02232_CB_facs_presort_Plate_3","01D"
"P388_Q701E","01E_02232",133842,118219,111560,67930,14843,53087,21.8504342705726,78.1495657294274,351,20,"02232_CB_facs_presort_Plate_3","01E"
"P388_Q701F","01F_02232",428158,324824,287665,128700,78971,49729,61.3605283605284,38.6394716394716,1291,26,"02232_CB_facs_presort_Plate_3","01F"
"P388_Q701G","01G_02232",237384,154554,123304,69858,15453,54405,22.1205874774543,77.8794125225457,734,25,"02232_CB_facs_presort_Plate_3","01G"
"P388_Q701H","01H_02232",188887,149813,132522,77204,30994,46210,40.1455883114864,59.8544116885136,744,21,"02232_CB_facs_presort_Plate_3","01H"
"P388_Q702A","02A_02232",259334,225923,207752,112620,58621,53999,52.0520333866098,47.9479666133902,1055,28,"02232_CB_facs_presort_Plate_3","02A"
"P388_Q702B","02B_02232",309258,273107,251982,138548,92411,46137,66.6996275658977,33.3003724341023,1256,26,"02232_CB_facs_presort_Plate_3","02B"
"P388_Q702C","02C_02232",129554,97588,89380,51801,2455,49346,4.73929074728287,95.2607092527171,218,25,"02232_CB_facs_presort_Plate_3","02C"
"P388_Q702D","02D_02232",266188,227442,204694,108719,67530,41189,62.1142578574122,37.8857421425878,1150,26,"02232_CB_facs_presort_Plate_3","02D"
"P388_Q702E","02E_02232",180524,125662,106976,61164,5505,55659,9.00039238767903,90.999607612321,614,31,"02232_CB_facs_presort_Plate_3","02E"
"P388_Q702F","02F_02232",331597,287597,260836,145838,94814,51024,65.0132338622307,34.9867661377693,1219,26,"02232_CB_facs_presort_Plate_3","02F"
"P388_Q702G","02G_02232",326797,222724,192898,101217,50069,51148,49.466986770997,50.533013229003,994,29,"02232_CB_facs_presort_Plate_3","02G"
"P388_Q702H","02H_02232",181601,129758,111376,62343,19765,42578,31.7036395425308,68.2963604574692,632,22,"02232_CB_facs_presort_Plate_3","02H"
"P388_Q703A","03A_02232",338460,285276,251211,137775,95575,42200,69.3703502086736,30.6296497913264,1445,27,"02232_CB_facs_presort_Plate_3","03A"
"P388_Q703B","03B_02232",242572,204493,175330,96233,56022,40211,58.2149574470296,41.7850425529704,1112,22,"02232_CB_facs_presort_Plate_3","03B"
"P388_Q703C","03C_02232",474412,415107,368105,177744,133331,44413,75.0129399585921,24.9870600414079,1666,24,"02232_CB_facs_presort_Plate_3","03C"
"P388_Q703D","03D_02232",484531,426853,376943,205761,159347,46414,77.4427612618523,22.5572387381477,1671,25,"02232_CB_facs_presort_Plate_3","03D"
"P388_Q703E","03E_02232",150300,115068,101012,60043,1856,58187,3.09111803207701,96.908881967923,271,28,"02232_CB_facs_presort_Plate_3","03E"
