"","id","total_reads","mapped_reads","genic_reads","total_counts","gene_counts","ERCC_counts","percent_gene","percent_ERCC","gendet","ERCCdet","sample","well"
"P394_Q501A","01A_62862",340437,309063,284672,192686,94550,98136,49.0694705375585,50.9305294624415,1021,28,"62862_CB_facs_direct_Plate_1_2","01A"
"P394_Q501B","01B_62862",218487,196866,179276,126828,38488,88340,30.3466111584193,69.6533888415807,733,33,"62862_CB_facs_direct_Plate_1_2","01B"
"P394_Q501C","01C_62862",326340,299402,275300,184287,110896,73391,60.1757042005133,39.8242957994867,1102,26,"62862_CB_facs_direct_Plate_1_2","01C"
"P394_Q501D","01D_62862",376485,339389,301813,189465,87419,102046,46.1399203019027,53.8600796980973,970,34,"62862_CB_facs_direct_Plate_1_2","01D"
"P394_Q501E","01E_62862",168325,150763,139191,103843,13424,90419,12.927207418892,87.072792581108,423,32,"62862_CB_facs_direct_Plate_1_2","01E"
"P394_Q501F","01F_62862",156097,122961,115183,89314,2944,86370,3.2962357525136,96.7037642474864,273,28,"62862_CB_facs_direct_Plate_1_2","01F"
"P394_Q501G","01G_62862",473524,431163,378590,238885,133494,105391,55.8821190112397,44.1178809887603,1187,32,"62862_CB_facs_direct_Plate_1_2","01G"
"P394_Q501H","01H_62862",213267,194210,177883,122915,10801,112114,8.78737338811374,91.2126266118863,324,32,"62862_CB_facs_direct_Plate_1_2","01H"
"P394_Q502A","02A_62862",137804,124795,114906,91364,43583,47781,47.7025962085723,52.2974037914277,828,26,"62862_CB_facs_direct_Plate_1_2","02A"
"P394_Q502B","02B_62862",431277,383894,349539,248773,151671,97102,60.9676291237393,39.0323708762607,1478,28,"62862_CB_facs_direct_Plate_1_2","02B"
"P394_Q502C","02C_62862",129730,119930,113684,86567,1691,84876,1.95340025644876,98.0465997435512,232,25,"62862_CB_facs_direct_Plate_1_2","02C"
"P394_Q502D","02D_62862",196051,180517,170860,125752,23221,102531,18.4657102869139,81.5342897130861,510,24,"62862_CB_facs_direct_Plate_1_2","02D"
