"","id","total_reads","mapped_reads","genic_reads","total_counts","gene_counts","ERCC_counts","percent_gene","percent_ERCC","gendet","ERCCdet","sample","well"
"P394_Q502E","02E_62862",169876,156459,143035,105786,3336,102450,3.15353638477681,96.8464636152232,217,30,"62862_CB_facs_direct_Plate_1_2","02E"
"P394_Q502F","02F_62862",315979,287064,261710,190849,104997,85852,55.0157454322527,44.9842545677473,1117,33,"62862_CB_facs_direct_Plate_1_2","02F"
"P394_Q502G","02G_62862",115818,108201,103791,78606,2857,75749,3.63458260183701,96.365417398163,251,25,"62862_CB_facs_direct_Plate_1_2","02G"
"P394_Q502H","02H_62862",139568,128928,124756,96059,15109,80950,15.7288749622628,84.2711250377372,285,23,"62862_CB_facs_direct_Plate_1_2","02H"
"P394_Q503A","03A_62862",178448,162003,150084,105556,25784,79772,24.4268445185494,75.5731554814506,721,28,"62862_CB_facs_direct_Plate_1_2","03A"
"P394_Q503B","03B_62862",136476,126596,122543,92595,1448,91147,1.56379934121713,98.4362006587829,195,31,"62862_CB_facs_direct_Plate_1_2","03B"
"P394_Q503C","03C_62862",132547,123081,119327,91853,2801,89052,3.04943768848051,96.9505623115195,219,28,"62862_CB_facs_direct_Plate_1_2","03C"
"P394_Q503D","03D_62862",366597,330938,306347,199927,102322,97605,51.1796805834129,48.8203194165871,1029,30,"62862_CB_facs_direct_Plate_1_2","03D"
"P394_Q503E","03E_62862",161101,143808,127519,93674,2765,90909,2.95172619937229,97.0482738006277,214,25,"62862_CB_facs_direct_Plate_1_2","03E"
"P394_Q503F","03F_62862",269649,244543,223425,151343,62985,88358,41.6173856736023,58.3826143263977,819,26,"62862_CB_facs_direct_Plate_1_2","03F"
"P394_Q503G","03G_62862",410675,377296,334081,227234,107891,119343,47.4801306142567,52.5198693857433,1085,29,"62862_CB_facs_direct_Plate_1_2","03G"
"P394_Q503H","03H_62862",171533,156250,148903,114094,1549,112545,1.35765246200501,98.642347537995,203,24,"62862_CB_facs_direct_Plate_1_2","03H"
"P394_Q504A","04A_62862",172299,148507,141854,101903,11729,90174,11.5099653592142,88.4900346407858,351,27,"62862_CB_facs_direct_Plate_1_2","04A"
"P394_Q504B","04B_62862",361443,325913,299874,214145,123041,91104,57.4568633402601,42.5431366597399,1308,31,"62862_CB_facs_direct_Plate_1_2","04B"
"P394_Q504C","04C_62862",291157,260681,236863,165891,79166,86725,47.7216967767992,52.2783032232008,980,25,"62862_CB_facs_direct_Plate_1_2","04C"
"P394_Q504D","04D_62862",484543,435991,394957,283629,199386,84243,70.2981712025216,29.7018287974784,1505,31,"62862_CB_facs_direct_Plate_1_2","04D"
"P394_Q504E","04E_62862",314600,283147,256509,175163,94902,80261,54.1792501841142,45.8207498158858,1040,28,"62862_CB_facs_direct_Plate_1_2","04E"
"P394_Q504F","04F_62862",279530,255891,234874,166173,65100,101073,39.1760394287881,60.8239605712119,882,32,"62862_CB_facs_direct_Plate_1_2","04F"
"P394_Q504G","04G_62862",185573,172460,164364,119655,32552,87103,27.2048806986754,72.7951193013246,596,30,"62862_CB_facs_direct_Plate_1_2","04G"
"P394_Q504H","04H_62862",141713,130322,127234,94137,3402,90735,3.61388189553523,96.3861181044648,211,26,"62862_CB_facs_direct_Plate_1_2","04H"
"P394_Q505A","05A_62862",108153,96838,92544,70542,1260,69282,1.78616994131156,98.2138300586884,386,27,"62862_CB_facs_direct_Plate_1_2","05A"
"P394_Q505B","05B_62862",451749,408708,367913,262155,166519,95636,63.5192920218954,36.4807079781046,1329,28,"62862_CB_facs_direct_Plate_1_2","05B"
"P394_Q505C","05C_62862",290525,260975,237446,169054,90285,78769,53.4060122800998,46.5939877199001,984,27,"62862_CB_facs_direct_Plate_1_2","05C"
"P394_Q505D","05D_62862",130747,118241,108685,84290,23895,60395,28.3485585478704,71.6514414521295,633,29,"62862_CB_facs_direct_Plate_1_2","05D"
"P394_Q505E","05E_62862",180732,164308,151048,110339,5956,104383,5.39791007712595,94.6020899228741,362,30,"62862_CB_facs_direct_Plate_1_2","05E"
"P394_Q505F","05F_62862",197303,174972,161277,118399,5393,113006,4.55493711940135,95.4450628805987,356,27,"62862_CB_facs_direct_Plate_1_2","05F"
"P394_Q505G","05G_62862",306970,276787,250594,164742,78103,86639,47.4092823930752,52.5907176069248,902,27,"62862_CB_facs_direct_Plate_1_2","05G"
"P394_Q505H","05H_62862",367004,332176,295600,188612,107433,81179,56.9597904693233,43.0402095306767,1147,33,"62862_CB_facs_direct_Plate_1_2","05H"
"P394_Q506A","06A_62862",111964,100951,99202,75955,710,75245,0.934764005002962,99.065235994997,498,29,"62862_CB_facs_direct_Plate_1_2","06A"
"P394_Q506B","06B_62862",130817,121406,120325,91418,196,91222,0.214399789975716,99.7856002100243,148,28,"62862_CB_facs_direct_Plate_1_2","06B"
"P394_Q506C","06C_62862",226426,206483,194134,137469,46790,90679,34.0367646523944,65.9632353476056,699,31,"62862_CB_facs_direct_Plate_1_2","06C"
"P394_Q506D","06D_62862",489061,428263,388349,268018,175409,92609,65.4467237275108,34.5532762724892,1489,26,"62862_CB_facs_direct_Plate_1_2","06D"
"P394_Q506E","06E_62862",343367,311314,285693,200179,112535,87644,56.2171856188711,43.7828143811289,1086,26,"62862_CB_facs_direct_Plate_1_2","06E"
"P394_Q506F","06F_62862",161205,146368,140690,103738,2069,101669,1.99444755056006,98.0055524494399,213,26,"62862_CB_facs_direct_Plate_1_2","06F"
"P394_Q506G","06G_62862",141480,131828,119428,90216,5068,85148,5.61762880198634,94.3823711980137,318,29,"62862_CB_facs_direct_Plate_1_2","06G"
"P394_Q506H","06H_62862",396466,366131,327221,231816,152705,79111,65.8733650826518,34.1266349173482,1395,29,"62862_CB_facs_direct_Plate_1_2","06H"
"P394_Q507A","07A_62862",341255,310925,289654,196367,88843,107524,45.243345368621,54.756654631379,907,35,"62862_CB_facs_direct_Plate_1_2","07A"
"P394_Q507B","07B_62862",309727,279426,256570,184371,90328,94043,48.9925205156993,51.0074794843007,1015,38,"62862_CB_facs_direct_Plate_1_2","07B"
"P394_Q507C","07C_62862",168588,154893,149633,114105,7681,106424,6.73151921475834,93.2684807852417,372,29,"62862_CB_facs_direct_Plate_1_2","07C"
"P394_Q507D","07D_62862",239113,220536,208607,149052,21271,127781,14.2708584923382,85.7291415076618,550,29,"62862_CB_facs_direct_Plate_1_2","07D"
"P394_Q507E","07E_62862",275250,247946,228000,157966,66380,91586,42.0217008723396,57.9782991276604,866,29,"62862_CB_facs_direct_Plate_1_2","07E"
"P394_Q507F","07F_62862",486816,436367,397481,277460,171407,106053,61.7771931089166,38.2228068910834,1427,30,"62862_CB_facs_direct_Plate_1_2","07F"
"P394_Q507G","07G_62862",679845,614885,561257,393968,278747,115221,70.7537160378508,29.2462839621492,1781,28,"62862_CB_facs_direct_Plate_1_2","07G"
"P394_Q507H","07H_62862",141192,128053,124666,92897,4091,88806,4.4038020603464,95.5961979396536,299,26,"62862_CB_facs_direct_Plate_1_2","07H"
"P394_Q508A","08A_62862",167356,151921,143402,104973,10041,94932,9.56531679574748,90.4346832042525,357,27,"62862_CB_facs_direct_Plate_1_2","08A"
"P394_Q508B","08B_62862",139942,128430,123119,90266,7482,82784,8.28883522034875,91.7111647796513,292,28,"62862_CB_facs_direct_Plate_1_2","08B"
"P394_Q508C","08C_62862",387075,349592,320482,218534,120366,98168,55.0788435666761,44.9211564333239,1100,34,"62862_CB_facs_direct_Plate_1_2","08C"
"P394_Q508D","08D_62862",181408,166092,153281,113040,17243,95797,15.2538924274593,84.7461075725407,556,30,"62862_CB_facs_direct_Plate_1_2","08D"
"P394_Q508E","08E_62862",182742,169334,163106,120485,4477,116008,3.71581524671121,96.2841847532888,333,31,"62862_CB_facs_direct_Plate_1_2","08E"
"P394_Q508F","08F_62862",559522,511150,466591,327315,211833,115482,64.7183905412218,35.2816094587782,1510,28,"62862_CB_facs_direct_Plate_1_2","08F"
"P394_Q508G","08G_62862",170324,148307,136413,102001,2836,99165,2.78036489838335,97.2196351016166,232,24,"62862_CB_facs_direct_Plate_1_2","08G"
"P394_Q508H","08H_62862",151409,135956,132741,100338,1259,99079,1.25475891486775,98.7452410851322,202,32,"62862_CB_facs_direct_Plate_1_2","08H"
"P394_Q509A","09A_62862",1798728,346592,257408,177424,82630,94794,46.5720533862386,53.4279466137614,1424,33,"62862_CB_facs_direct_Plate_1_2","09A"
"P394_Q509B","09B_62862",246262,224153,200793,141607,38110,103497,26.9125113871489,73.0874886128511,621,32,"62862_CB_facs_direct_Plate_1_2","09B"
"P394_Q509C","09C_62862",286877,264052,243955,174968,77533,97435,44.3126743175895,55.6873256824105,898,30,"62862_CB_facs_direct_Plate_1_2","09C"
"P394_Q509D","09D_62862",260672,239694,220169,157128,68671,88457,43.7038592739677,56.2961407260323,892,29,"62862_CB_facs_direct_Plate_1_2","09D"
"P394_Q509E","09E_62862",169261,155143,144028,105893,8445,97448,7.97503139962037,92.0249686003796,382,28,"62862_CB_facs_direct_Plate_1_2","09E"
"P394_Q509F","09F_62862",366785,333749,310722,209661,111984,97677,53.4119364116359,46.5880635883641,1066,28,"62862_CB_facs_direct_Plate_1_2","09F"
"P394_Q509G","09G_62862",182153,165003,153831,115353,3558,111795,3.0844451379678,96.9155548620322,223,28,"62862_CB_facs_direct_Plate_1_2","09G"
"P394_Q509H","09H_62862",184208,165761,160332,118428,6211,112217,5.24453676495423,94.7554632350458,275,30,"62862_CB_facs_direct_Plate_1_2","09H"
"P394_Q510A","10A_62862",8921243,853835,323249,52465,46993,5472,89.570189650243,10.429810349757,3504,60,"62862_CB_facs_direct_Plate_1_2","10A"
"P394_Q510B","10B_62862",337392,305582,275556,191004,111464,79540,58.3568930493602,41.6431069506398,1160,28,"62862_CB_facs_direct_Plate_1_2","10B"
"P394_Q510C","10C_62862",288299,249469,232261,161159,52342,108817,32.4784839816579,67.5215160183421,679,31,"62862_CB_facs_direct_Plate_1_2","10C"
"P394_Q510D","10D_62862",195594,173449,158966,117052,13721,103331,11.7221405870895,88.2778594129105,510,28,"62862_CB_facs_direct_Plate_1_2","10D"
"P394_Q510E","10E_62862",294884,265581,246547,172818,91108,81710,52.7190454698006,47.2809545301994,1000,31,"62862_CB_facs_direct_Plate_1_2","10E"
"P394_Q510F","10F_62862",424510,388245,359835,258486,159428,99058,61.6776150352437,38.3223849647563,1418,28,"62862_CB_facs_direct_Plate_1_2","10F"
"P394_Q510G","10G_62862",500216,449329,406100,283591,187801,95790,66.2224823777905,33.7775176222095,1529,31,"62862_CB_facs_direct_Plate_1_2","10G"
"P394_Q510H","10H_62862",166896,142973,134525,100869,3254,97615,3.22596635239766,96.7740336476023,319,30,"62862_CB_facs_direct_Plate_1_2","10H"
"P394_Q511A","11A_62862",395837,349967,322372,233208,147603,85605,63.2924256457754,36.7075743542246,1345,28,"62862_CB_facs_direct_Plate_1_2","11A"
"P394_Q511B","11B_62862",560656,496980,449005,314590,227856,86734,72.4295114275724,27.5704885724276,1657,29,"62862_CB_facs_direct_Plate_1_2","11B"
"P394_Q511C","11C_62862",409096,360334,330782,225982,149419,76563,66.1198679540848,33.8801320459152,1361,28,"62862_CB_facs_direct_Plate_1_2","11C"
"P394_Q511D","11D_62862",338651,275236,253299,180809,80463,100346,44.5016564440929,55.4983435559071,910,29,"62862_CB_facs_direct_Plate_1_2","11D"
"P394_Q511E","11E_62862",216211,193801,178434,128152,53005,75147,41.3610400149822,58.6389599850178,858,34,"62862_CB_facs_direct_Plate_1_2","11E"
"P394_Q511F","11F_62862",438870,396411,365057,260208,156733,103475,60.2337360880526,39.7662639119474,1369,31,"62862_CB_facs_direct_Plate_1_2","11F"
"P394_Q511G","11G_62862",245287,218783,202799,140232,44625,95607,31.8222659592675,68.1777340407325,598,21,"62862_CB_facs_direct_Plate_1_2","11G"
"P394_Q511H","11H_62862",162201,144717,138718,101619,14752,86867,14.5169702516262,85.4830297483738,486,25,"62862_CB_facs_direct_Plate_1_2","11H"
"P394_Q512A","12A_62862",190196,168156,158677,115637,32926,82711,28.4735854441053,71.5264145558947,582,25,"62862_CB_facs_direct_Plate_1_2","12A"
"P394_Q512B","12B_62862",194678,172818,152328,102361,33423,68938,32.6520842899151,67.3479157100849,536,29,"62862_CB_facs_direct_Plate_1_2","12B"
"P394_Q512C","12C_62862",154360,136378,123334,89067,11987,77080,13.45840771554,86.54159228446,418,26,"62862_CB_facs_direct_Plate_1_2","12C"
"P394_Q512D","12D_62862",242371,221556,205668,138864,52129,86735,37.5396070975919,62.4603929024081,644,27,"62862_CB_facs_direct_Plate_1_2","12D"
"P394_Q512E","12E_62862",298003,266767,243451,162346,84886,77460,52.2870905350301,47.7129094649699,947,27,"62862_CB_facs_direct_Plate_1_2","12E"
"P394_Q512F","12F_62862",213667,195204,188572,136675,40216,96459,29.4245472837022,70.5754527162978,561,27,"62862_CB_facs_direct_Plate_1_2","12F"
"P394_Q512G","12G_62862",270698,247975,217409,152924,58440,94484,38.2150610760901,61.7849389239099,1014,34,"62862_CB_facs_direct_Plate_1_2","12G"
"P394_Q512H","12H_62862",178518,151993,146205,108086,6343,101743,5.8684751031586,94.1315248968414,338,29,"62862_CB_facs_direct_Plate_1_2","12H"
