"","P386_Q501A","P386_Q501B","P386_Q501C","P386_Q501D","P386_Q501E","P386_Q501F","P386_Q501G","P386_Q501H","P386_Q502A","P386_Q502B","P386_Q502C","P386_Q502D","P386_Q502E","P386_Q502F","P386_Q502G","P386_Q502H","P386_Q503A","P386_Q503B","P386_Q503C","P386_Q503D","P386_Q503E","P386_Q503F","P386_Q503G","P386_Q503H","P386_Q504A","P386_Q504B","P386_Q504C","P386_Q504D","P386_Q504E","P386_Q504F","P386_Q504G","P386_Q504H","P386_Q505A","P386_Q505B","P386_Q505C","P386_Q505D","P386_Q505E","P386_Q505F","P386_Q505G","P386_Q505H","P386_Q506A","P386_Q506B","P386_Q506C","P386_Q506D","P386_Q506E","P386_Q506F","P386_Q506G","P386_Q506H","P386_Q507A","P386_Q507B","P386_Q507C","P386_Q507D","P386_Q507E","P386_Q507F","P386_Q507G","P386_Q507H","P386_Q508A","P386_Q508B","P386_Q508C","P386_Q508D","P386_Q508E","P386_Q508F","P386_Q508G","P386_Q508H","P386_Q509A","P386_Q509B","P386_Q509C","P386_Q509D","P386_Q509E","P386_Q509F","P386_Q509G","P386_Q509H","P386_Q510A","P386_Q510B","P386_Q510C","P386_Q510D","P386_Q510E","P386_Q510F","P386_Q510G","P386_Q510H","P386_Q511A","P386_Q511B","P386_Q511C","P386_Q511D","P386_Q511E","P386_Q511F","P386_Q511G","P386_Q511H","P386_Q512A","P386_Q512B","P386_Q512C","P386_Q512D","P386_Q512E","P386_Q512F","P386_Q512G","P386_Q512H"
"ERCC-00002",8230,4153,4039,7720,6791,6356,8985,7571,3531,6239,8811,7633,7812,6469,6665,6150,7080,6159,9142,5888,7748,8095,9564,8183,7344,6488,8275,7881,8558,7478,6325,8798,6009,7457,7341,4568,7699,8717,6804,6235,7197,7494,8793,9556,6304,7672,6626,7342,7517,6669,6856,6611,6231,5474,7741,6367,5984,6549,7976,6022,8808,6625,7502,6899,7228,8136,8189,7367,7212,6742,5462,7005,6166,5558,7955,6559,6464,5118,6511,7895,6544,7482,6777,6917,6925,8202,10293,6461,7298,8929,8368,6773,5851,8793,6746,7423
"ERCC-00003",577,63,7,494,509,324,756,248,82,467,607,359,490,444,526,444,486,595,618,220,502,672,604,584,591,521,141,817,218,166,159,265,740,217,430,464,597,464,561,244,116,151,520,484,357,257,666,382,173,69,106,183,487,550,406,301,384,334,290,207,230,139,508,255,588,651,222,502,666,602,518,37,63,358,1133,263,544,329,162,510,197,780,392,496,224,780,745,183,124,650,97,357,306,791,93,670
"ERCC-00004",2749,2424,1792,3314,2973,3603,4896,3863,2534,3027,4390,4643,3174,2356,3073,2418,3368,3722,3105,3915,3846,4223,2792,4318,3690,3436,3953,2714,2761,4567,3631,5724,3519,4078,3383,1926,4193,4702,2736,3918,3019,3263,3380,3462,3635,3226,2848,2676,3734,2897,3789,3463,3437,4121,3236,1857,4234,3324,3553,2359,3578,3828,2610,3479,3803,3674,3964,3414,3312,3095,3932,4091,1860,3328,4993,2803,3592,3106,2390,3437,2399,3369,2968,3277,2941,4487,3919,3421,3753,4022,3063,2785,2722,4308,3802,3607
"ERCC-00009",498,279,176,160,725,291,129,254,220,12,1,531,439,602,384,427,425,418,322,109,470,1164,4,132,342,291,408,465,335,157,164,517,210,530,579,361,592,547,448,305,494,218,261,497,1068,354,1,209,813,237,364,321,251,262,15,297,366,287,792,666,440,385,189,462,248,241,274,196,578,247,206,274,248,299,178,337,478,3,558,297,37,367,373,65,631,323,539,375,15,290,178,86,248,166,727,508
"ERCC-00012",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00013",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00019",0,0,0,0,0,40,0,0,0,0,0,0,0,0,68,0,0,0,91,0,1,0,0,90,0,0,0,2,0,0,0,0,0,0,81,0,0,1,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,10,0,1,0,1,0,0,59,0,0,0,0,0,0,0,0,0,1,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,103,0,0
