"","id","total_reads","mapped_reads","genic_reads","total_counts","gene_counts","ERCC_counts","percent_gene","percent_ERCC","gendet","ERCCdet","sample","well"
"P386_Q501A","01A_02232",209706,176404,158043,113037,70185,42852,62.0902890204093,37.9097109795908,1111,27,"02232_CB_facs_presort_Plate_1","01A"
"P386_Q501B","01B_02232",85154,57635,47187,35899,3659,32240,10.1924844703195,89.8075155296805,389,26,"02232_CB_facs_presort_Plate_1","01B"
"P386_Q501C","01C_02232",161746,135478,116162,83681,59713,23968,71.3578948626331,28.6421051373669,1085,24,"02232_CB_facs_presort_Plate_1","01C"
"P386_Q501D","01D_02232",398752,350205,314542,231591,187683,43908,81.0407140173841,18.9592859826159,1931,23,"02232_CB_facs_presort_Plate_1","01D"
"P386_Q501E","01E_02232",279878,212018,180962,134663,85958,48705,63.8319360180599,36.1680639819401,1408,26,"02232_CB_facs_presort_Plate_1","01E"
"P386_Q501F","01F_02232",102823,76036,55430,44854,7115,37739,15.8625763588532,84.1374236411468,395,31,"02232_CB_facs_presort_Plate_1","01F"
"P386_Q501G","01G_02232",258207,226683,206172,144318,92361,51957,63.9982538560679,36.0017461439322,1221,32,"02232_CB_facs_presort_Plate_1","01G"
"P386_Q501H","01H_02232",224458,166166,146406,104479,54494,49985,52.1578499028513,47.8421500971487,1181,24,"02232_CB_facs_presort_Plate_1","01H"
"P386_Q502A","02A_02232",117642,99737,90471,69886,41753,28133,59.7444409466846,40.2555590533154,955,26,"02232_CB_facs_presort_Plate_1","02A"
"P386_Q502B","02B_02232",7730391,465509,83120,47945,9572,38373,19.964542705183,80.035457294817,2033,50,"02232_CB_facs_presort_Plate_1","02B"
"P386_Q502C","02C_02232",181209,152961,137911,101274,50744,50530,50.105653968442,49.894346031558,911,27,"02232_CB_facs_presort_Plate_1","02C"
"P386_Q502D","02D_02232",108941,79567,64061,50851,2455,48396,4.8278303278205,95.1721696721795,390,25,"02232_CB_facs_presort_Plate_1","02D"
"P386_Q502E","02E_02232",374205,326995,293413,212814,168342,44472,79.1028785700189,20.8971214299811,1773,25,"02232_CB_facs_presort_Plate_1","02E"
"P386_Q502F","02F_02232",103562,74638,54143,43105,4019,39086,9.32374434520357,90.6762556547964,373,26,"02232_CB_facs_presort_Plate_1","02F"
"P386_Q502G","02G_02232",166705,148756,134419,102383,61376,41007,59.9474522137464,40.0525477862536,1071,29,"02232_CB_facs_presort_Plate_1","02G"
"P386_Q502H","02H_02232",119579,103371,94512,71233,34379,36854,48.2627433914057,51.7372566085943,741,25,"02232_CB_facs_presort_Plate_1","02H"
"P386_Q503A","03A_02232",196946,170115,150627,111217,66470,44747,59.7660429610581,40.2339570389419,1071,27,"02232_CB_facs_presort_Plate_1","03A"
"P386_Q503B","03B_02232",299015,255853,230535,174149,133968,40181,76.9272289820786,23.0727710179214,1402,23,"02232_CB_facs_presort_Plate_1","03B"
"P386_Q503C","03C_02232",149174,116141,74504,59468,14085,45383,23.6850070626219,76.3149929373781,446,27,"02232_CB_facs_presort_Plate_1","03C"
"P386_Q503D","03D_02232",84817,66174,57354,44799,1766,43033,3.94205227795263,96.0579477220474,259,30,"02232_CB_facs_presort_Plate_1","03D"
"P386_Q503E","03E_02232",210431,103917,64600,43835,3162,40673,7.21341393863351,92.7865860613665,843,28,"02232_CB_facs_presort_Plate_1","03E"
"P386_Q503F","03F_02232",109458,83084,72196,55201,3431,51770,6.21546711110306,93.7845328888969,426,25,"02232_CB_facs_presort_Plate_1","03F"
"P386_Q503G","03G_02232",108137,89936,82277,62951,21746,41205,34.5443281282267,65.4556718717733,728,24,"02232_CB_facs_presort_Plate_1","03G"
"P386_Q503H","03H_02232",140773,104188,89318,67918,22128,45790,32.5804646779941,67.419535322006,857,24,"02232_CB_facs_presort_Plate_1","03H"
"P386_Q504A","04A_02232",321031,270963,244835,171275,126653,44622,73.9471609983944,26.0528390016056,1424,24,"02232_CB_facs_presort_Plate_1","04A"
"P386_Q504B","04B_02232",160620,133032,120983,86915,43960,42955,50.5781510671346,49.4218489328654,787,25,"02232_CB_facs_presort_Plate_1","04B"
"P386_Q504C","04C_02232",228824,197777,179025,133815,84286,49529,62.9869596084146,37.0130403915854,1263,28,"02232_CB_facs_presort_Plate_1","04C"
"P386_Q504D","04D_02232",99940,65612,56293,44349,1038,43311,2.3405262801867,97.6594737198133,386,27,"02232_CB_facs_presort_Plate_1","04D"
"P386_Q504E","04E_02232",488960,432215,383803,281279,242621,38658,86.2563504563085,13.7436495436915,2213,30,"02232_CB_facs_presort_Plate_1","04E"
"P386_Q504F","04F_02232",107941,84195,64589,49204,6239,42965,12.6798634257377,87.3201365742622,440,28,"02232_CB_facs_presort_Plate_1","04F"
"P386_Q504G","04G_02232",152835,135373,121378,90741,52758,37983,58.1413032697458,41.8586967302542,930,21,"02232_CB_facs_presort_Plate_1","04G"
"P386_Q504H","04H_02232",163563,132353,117173,81485,31715,49770,38.9212738540836,61.0787261459164,915,23,"02232_CB_facs_presort_Plate_1","04H"
"P386_Q505A","05A_02232",143230,113779,103236,74205,33286,40919,44.8568155784651,55.1431844215349,747,24,"02232_CB_facs_presort_Plate_1","05A"
"P386_Q505B","05B_02232",307976,273917,247125,187897,140315,47582,74.6765515149257,25.3234484850743,1500,24,"02232_CB_facs_presort_Plate_1","05B"
"P386_Q505C","05C_02232",299693,256526,227869,171435,131858,39577,76.9142823810774,23.0857176189226,1658,27,"02232_CB_facs_presort_Plate_1","05C"
"P386_Q505D","05D_02232",101286,55066,41173,31141,3400,27741,10.9180822709611,89.0819177290389,389,23,"02232_CB_facs_presort_Plate_1","05D"
"P386_Q505E","05E_02232",111247,79673,62475,47310,3171,44139,6.70259987317692,93.2974001268231,389,23,"02232_CB_facs_presort_Plate_1","05E"
"P386_Q505F","05F_02232",447278,295938,224764,152061,101429,50632,66.7028363617233,33.2971636382767,1779,31,"02232_CB_facs_presort_Plate_1","05F"
"P386_Q505G","05G_02232",196134,170704,154095,112781,70800,41981,62.7765315079668,37.2234684920332,1082,28,"02232_CB_facs_presort_Plate_1","05G"
"P386_Q505H","05H_02232",109013,74166,58271,43810,8243,35567,18.8153389637069,81.1846610362931,548,26,"02232_CB_facs_presort_Plate_1","05H"
"P386_Q506A","06A_02232",120340,90464,80127,60884,19263,41621,31.638854214572,68.361145785428,654,27,"02232_CB_facs_presort_Plate_1","06A"
"P386_Q506B","06B_02232",311372,277996,246413,185246,143331,41915,77.3733305982315,22.6266694017685,1524,28,"02232_CB_facs_presort_Plate_1","06B"
"P386_Q506C","06C_02232",89263,76519,64441,51399,3725,47674,7.24722270861301,92.752777291387,302,22,"02232_CB_facs_presort_Plate_1","06C"
"P386_Q506D","06D_02232",122886,91913,77258,57548,12028,45520,20.9008132341697,79.0991867658303,711,24,"02232_CB_facs_presort_Plate_1","06D"
"P386_Q506E","06E_02232",75864,61732,54653,42792,1097,41695,2.56356328285661,97.4364367171434,256,22,"02232_CB_facs_presort_Plate_1","06E"
"P386_Q506F","06F_02232",325845,277425,249067,182960,138547,44413,75.7252951464801,24.2747048535199,1637,25,"02232_CB_facs_presort_Plate_1","06F"
"P386_Q506G","06G_02232",183406,160039,142434,105286,62491,42795,59.3535702752503,40.6464297247497,1113,25,"02232_CB_facs_presort_Plate_1","06G"
"P386_Q506H","06H_02232",91990,68456,59783,46777,11701,35076,25.0144301686726,74.9855698313274,559,18,"02232_CB_facs_presort_Plate_1","06H"
"P386_Q507A","07A_02232",77179,61758,57604,45377,631,44746,1.39057231637173,98.6094276836283,256,24,"02232_CB_facs_presort_Plate_1","07A"
"P386_Q507B","07B_02232",85349,67608,58428,44981,8840,36141,19.652742268958,80.347257731042,505,25,"02232_CB_facs_presort_Plate_1","07B"
"P386_Q507C","07C_02232",101166,70280,56213,45209,1870,43339,4.13634453316817,95.8636554668318,355,25,"02232_CB_facs_presort_Plate_1","07C"
"P386_Q507D","07D_02232",187059,156904,138920,100709,58524,42185,58.1119860191244,41.8880139808756,901,24,"02232_CB_facs_presort_Plate_1","07D"
"P386_Q507E","07E_02232",132346,105064,81053,57955,21926,36029,37.8328013113623,62.1671986886377,742,24,"02232_CB_facs_presort_Plate_1","07E"
"P386_Q507F","07F_02232",197847,164720,147000,105601,65913,39688,62.4170225660742,37.5829774339258,1067,26,"02232_CB_facs_presort_Plate_1","07F"
"P386_Q507G","07G_02232",173622,144599,124546,85427,39287,46140,45.9889730413101,54.0110269586899,817,29,"02232_CB_facs_presort_Plate_1","07G"
"P386_Q507H","07H_02232",96632,66559,58106,43521,13322,30199,30.610509868799,69.389490131201,682,28,"02232_CB_facs_presort_Plate_1","07H"
