"","P394_Q501A","P394_Q501B","P394_Q501C","P394_Q501D","P394_Q501E","P394_Q501F","P394_Q501G","P394_Q501H","P394_Q502A","P394_Q502B","P394_Q502C","P394_Q502D","P394_Q502E","P394_Q502F","P394_Q502G","P394_Q502H","P394_Q503A","P394_Q503B","P394_Q503C","P394_Q503D","P394_Q503E","P394_Q503F","P394_Q503G","P394_Q503H","P394_Q504A","P394_Q504B","P394_Q504C","P394_Q504D","P394_Q504E","P394_Q504F","P394_Q504G","P394_Q504H","P394_Q505A","P394_Q505B","P394_Q505C","P394_Q505D","P394_Q505E","P394_Q505F","P394_Q505G","P394_Q505H","P394_Q506A","P394_Q506B","P394_Q506C","P394_Q506D","P394_Q506E","P394_Q506F","P394_Q506G","P394_Q506H","P394_Q507A","P394_Q507B","P394_Q507C","P394_Q507D","P394_Q507E","P394_Q507F","P394_Q507G","P394_Q507H","P394_Q508A","P394_Q508B","P394_Q508C","P394_Q508D","P394_Q508E","P394_Q508F","P394_Q508G","P394_Q508H","P394_Q509A","P394_Q509B","P394_Q509C","P394_Q509D","P394_Q509E","P394_Q509F","P394_Q509G","P394_Q509H","P394_Q510A","P394_Q510B","P394_Q510C","P394_Q510D","P394_Q510E","P394_Q510F","P394_Q510G","P394_Q510H","P394_Q511A","P394_Q511B","P394_Q511C","P394_Q511D","P394_Q511E","P394_Q511F","P394_Q511G","P394_Q511H","P394_Q512A","P394_Q512B","P394_Q512C","P394_Q512D","P394_Q512E","P394_Q512F","P394_Q512G","P394_Q512H"
"EGFP",0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0
"ERCC-00002",16621,14525,10209,16113,16732,17224,15372,18223,6455,15768,15062,14632,17456,14653,13712,16840,10932,16801,14202,13298,16418,17171,19934,18350,14568,13615,16111,14393,14195,15945,13526,16045,11278,17066,13616,7499,16253,18719,13916,13618,11305,15473,15996,15689,16761,17746,14087,12749,17995,15567,14737,19217,15362,17411,23583,15936,14728,13792,14910,18168,20146,19504,14127,17522,14035,15530,18563,12118,19375,17199,17000,19136,953,13894,20828,19063,14834,15361,17930,17983,14651,13971,11084,18322,12607,20960,15220,16648,16163,12721,12848,14459,12901,14533,16691,17278
"ERCC-00003",859,1406,525,346,1033,299,1717,2229,668,888,836,557,1640,1769,1013,1842,833,1258,1270,1965,1313,1334,223,1245,1461,1008,610,1317,211,1798,833,482,851,271,700,923,1594,1486,1081,1882,1277,509,693,14,673,876,1233,495,1639,894,766,2061,1400,1138,1351,799,223,841,1494,1639,1858,2617,1603,1642,672,1440,926,1204,1305,996,1388,1323,58,972,910,1022,583,1461,1224,809,381,1186,700,1407,1507,1486,635,409,499,1168,853,341,878,1498,955,980
"ERCC-00004",10945,9620,6463,9091,7524,10341,10964,12756,6142,8191,10465,11548,8193,8746,6056,6650,7543,8311,7242,11436,7331,6929,11911,9485,9197,10705,7507,7000,6787,8725,10436,9911,7993,9189,8166,5186,8774,9386,9047,8741,10440,10573,7873,11689,9006,8337,6847,8113,11031,8292,8809,10196,9447,10054,11180,7194,8782,8216,8123,7686,12057,10332,10029,9408,8028,9122,8820,12367,10450,7302,10079,8293,426,8478,12931,8286,8228,11459,7846,11492,10337,7235,7156,10419,7025,10026,10491,8337,6408,6346,7569,7901,8446,9157,11359,8782
"ERCC-00009",1106,706,599,788,1153,292,624,272,219,127,93,1000,521,916,678,231,0,334,1127,899,546,155,942,287,740,542,400,109,252,1244,978,944,604,1241,1,191,265,412,791,256,479,1084,143,428,208,775,98,931,267,429,961,1333,400,711,272,628,1042,689,15,537,1063,554,833,987,250,1192,893,1499,220,922,366,869,33,475,333,982,533,279,1170,831,452,661,453,295,543,1156,356,240,566,324,117,425,1056,0,307,689
"ERCC-00012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
