"","P389_Q801A","P389_Q801B","P389_Q801C","P389_Q801D","P389_Q801E","P389_Q801F","P389_Q801G","P389_Q801H","P389_Q802A","P389_Q802B","P389_Q802C","P389_Q802D","P389_Q802E","P389_Q802F","P389_Q802G","P389_Q802H","P389_Q803A","P389_Q803B","P389_Q803C","P389_Q803D","P389_Q803E","P389_Q803F","P389_Q803G","P389_Q803H","P389_Q804A","P389_Q804B","P389_Q804C","P389_Q804D","P389_Q804E","P389_Q804F","P389_Q804G","P389_Q804H","P389_Q805A","P389_Q805B","P389_Q805C","P389_Q805D","P389_Q805E","P389_Q805F","P389_Q805G","P389_Q805H","P389_Q806A","P389_Q806B","P389_Q806C","P389_Q806D","P389_Q806E","P389_Q806F","P389_Q806G","P389_Q806H","P389_Q807A","P389_Q807B","P389_Q807C","P389_Q807D","P389_Q807E","P389_Q807F","P389_Q807G","P389_Q807H","P389_Q808A","P389_Q808B","P389_Q808C","P389_Q808D","P389_Q808E","P389_Q808F","P389_Q808G","P389_Q808H","P389_Q809A","P389_Q809B","P389_Q809C","P389_Q809D","P389_Q809E","P389_Q809F","P389_Q809G","P389_Q809H","P389_Q810A","P389_Q810B","P389_Q810C","P389_Q810D","P389_Q810E","P389_Q810F","P389_Q810G","P389_Q810H","P389_Q811A","P389_Q811B","P389_Q811C","P389_Q811D","P389_Q811E","P389_Q811F","P389_Q811G","P389_Q811H","P389_Q812A","P389_Q812B","P389_Q812C","P389_Q812D","P389_Q812E","P389_Q812F","P389_Q812G","P389_Q812H"
"ERCC-00002",233,12230,7007,6109,8227,13192,14495,33,11190,11193,8247,6531,6238,14942,11909,7246,13638,9982,7465,5142,7224,12411,9755,9923,13546,12260,7708,5432,5748,10582,9560,12119,11186,6718,7174,5220,8675,11454,15845,10833,13015,9120,4629,5569,7868,9308,9705,6612,11201,14645,5796,4429,8296,8684,9955,10005,15979,11691,7325,6948,5182,14620,9839,10237,9578,11157,7483,5692,9370,10823,9275,9889,13085,12045,6273,6676,7768,14145,13686,10818,13882,10407,6100,5001,7594,13428,11619,11969,15389,14905,6127,6633,6767,10636,10410,9629
"ERCC-00003",11,549,608,219,392,1559,759,0,865,28,575,243,564,768,311,774,441,191,103,225,395,468,456,317,801,230,353,160,130,1746,1163,813,1287,271,316,860,362,1180,710,405,526,1043,301,369,375,666,462,1,672,532,322,480,459,240,418,932,20,704,224,603,735,1187,555,677,646,346,1023,589,363,488,492,236,542,305,461,109,503,224,279,624,1737,1081,496,424,102,843,899,881,345,429,624,751,676,702,236,807
"ERCC-00004",66,5217,3208,1816,2939,5080,6500,8,4583,3664,2643,2484,4191,7100,5481,3866,4279,4739,3728,2705,4020,5172,4352,4080,4502,4292,3395,2188,2641,5221,5140,5279,3596,4085,2781,3068,2833,5577,4857,3728,5003,4516,2050,2804,2598,5370,5449,1969,3523,5260,2732,2217,2249,5246,4827,3584,5349,4347,2640,3065,3141,5682,5659,4805,3224,4237,3408,2970,3131,3431,6080,4625,3636,4452,2757,2501,3032,5377,3709,5405,3136,3338,3648,2424,2824,3963,5480,4730,7003,5366,3436,2374,2408,4223,4966,3298
"ERCC-00009",5,1039,279,484,448,555,2,1,250,1,0,475,1,764,353,472,589,328,273,299,324,815,1005,526,358,361,202,377,333,668,382,1602,744,286,189,410,647,463,508,244,355,889,78,17,79,0,888,164,718,1358,7,221,702,644,735,178,12,625,213,411,306,591,383,174,338,727,491,492,341,0,162,214,371,1152,120,419,334,1052,497,225,989,431,288,247,188,687,723,269,519,1307,719,411,194,96,289,300
"ERCC-00012",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00019",0,0,0,0,0,0,1,0,0,0,0,50,0,0,1,0,0,0,101,0,0,0,0,0,0,0,68,0,96,0,1,0,0,0,1,0,0,115,0,192,0,1,0,13,0,0,0,0,0,0,0,0,103,0,1,132,0,0,0,0,0,0,4,0,0,0,41,0,0,0,0,1,0,0,84,105,0,0,0,0,0,0,0,0,86,0,0,0,0,0,23,1,0,0,0,171
