"","id","total_reads","mapped_reads","genic_reads","total_counts","gene_counts","ERCC_counts","percent_gene","percent_ERCC","gendet","ERCCdet","sample","well"
"P390_Q501A","01A_02232",391666,355772,327329,217709,130709,87000,60.0383998824118,39.9616001175882,1352,31,"02232_CB_facs_direct_Plate_2","01A"
"P390_Q501B","01B_02232",367574,322400,294426,202844,137848,64996,67.9576423261225,32.0423576738775,1437,29,"02232_CB_facs_direct_Plate_2","01B"
"P390_Q501C","01C_02232",422244,388344,357412,249466,186746,62720,74.8582973230821,25.1417026769179,1770,27,"02232_CB_facs_direct_Plate_2","01C"
"P390_Q501D","01D_02232",1030657,936506,896854,671373,603260,68113,89.8546709504255,10.1453290495745,3718,30,"02232_CB_facs_direct_Plate_2","01D"
"P390_Q501E","01E_02232",199135,172496,156510,109005,41985,67020,38.5165818081739,61.4834181918261,749,25,"02232_CB_facs_direct_Plate_2","01E"
"P390_Q501F","01F_02232",245795,216738,191431,131258,69383,61875,52.8600161513965,47.1399838486035,1072,22,"02232_CB_facs_direct_Plate_2","01F"
"P390_Q501G","01G_02232",273232,246661,229753,149549,85331,64218,57.0588903971274,42.9411096028726,1089,22,"02232_CB_facs_direct_Plate_2","01G"
"P390_Q501H","01H_02232",214647,187354,169704,106963,39325,67638,36.7650495965895,63.2349504034105,761,26,"02232_CB_facs_direct_Plate_2","01H"
"P390_Q502A","02A_02232",121145,111629,100556,72276,26756,45520,37.0192041618241,62.9807958381759,618,25,"02232_CB_facs_direct_Plate_2","02A"
"P390_Q502B","02B_02232",164785,148241,139500,95959,33797,62162,35.2202503152388,64.7797496847612,614,29,"02232_CB_facs_direct_Plate_2","02B"
"P390_Q502C","02C_02232",202809,183078,170463,111975,57405,54570,51.2659075686537,48.7340924313463,822,25,"02232_CB_facs_direct_Plate_2","02C"
"P390_Q502D","02D_02232",159645,144863,136511,91170,22593,68577,24.7811780190852,75.2188219809148,469,25,"02232_CB_facs_direct_Plate_2","02D"
"P390_Q502E","02E_02232",242543,221096,207893,138623,67226,71397,48.4955598998723,51.5044401001277,900,25,"02232_CB_facs_direct_Plate_2","02E"
"P390_Q502F","02F_02232",236343,214960,200938,138684,83566,55118,60.2564102564103,39.7435897435897,1108,22,"02232_CB_facs_direct_Plate_2","02F"
"P390_Q502G","02G_02232",303759,281784,261092,188508,134289,54219,71.2378254503788,28.7621745496212,1480,24,"02232_CB_facs_direct_Plate_2","02G"
"P390_Q502H","02H_02232",208425,192611,178675,114337,58122,56215,50.8339382702013,49.1660617297988,825,23,"02232_CB_facs_direct_Plate_2","02H"
"P390_Q503A","03A_02232",397111,358080,328008,228712,152112,76600,66.5080975200252,33.4919024799748,1538,29,"02232_CB_facs_direct_Plate_2","03A"
"P390_Q503B","03B_02232",163974,149071,140177,96641,30357,66284,31.4121335664987,68.5878664335013,639,24,"02232_CB_facs_direct_Plate_2","03B"
"P390_Q503C","03C_02232",299982,274971,253505,182066,103664,78402,56.9375940592972,43.0624059407028,1160,24,"02232_CB_facs_direct_Plate_2","03C"
"P390_Q503D","03D_02232",107005,95747,93870,70470,4272,66198,6.06215410813112,93.9378458918689,179,23,"02232_CB_facs_direct_Plate_2","03D"
"P390_Q503E","03E_02232",319573,281827,256746,172281,104667,67614,60.7536524631271,39.2463475368729,1248,28,"02232_CB_facs_direct_Plate_2","03E"
"P390_Q503F","03F_02232",127611,112903,95025,69196,3186,66010,4.60431238799931,95.3956876120007,213,27,"02232_CB_facs_direct_Plate_2","03F"
"P390_Q503G","03G_02232",404558,376284,347949,249446,166924,82522,66.9178900443383,33.0821099556617,1581,25,"02232_CB_facs_direct_Plate_2","03G"
"P390_Q503H","03H_02232",237551,215617,198072,135589,68379,67210,50.4310821674325,49.5689178325675,918,24,"02232_CB_facs_direct_Plate_2","03H"
"P390_Q504A","04A_02232",174849,150149,141747,101325,22827,78498,22.5284974093264,77.4715025906736,600,22,"02232_CB_facs_direct_Plate_2","04A"
"P390_Q504B","04B_02232",240259,206310,190834,129465,65335,64130,50.465376742749,49.534623257251,902,25,"02232_CB_facs_direct_Plate_2","04B"
"P390_Q504C","04C_02232",221168,196419,184989,126218,61841,64377,48.9953889302635,51.0046110697365,900,26,"02232_CB_facs_direct_Plate_2","04C"
"P390_Q504D","04D_02232",296404,261591,242998,166482,104753,61729,62.9215170408813,37.0784829591187,1225,29,"02232_CB_facs_direct_Plate_2","04D"
