"","P393_Q801A","P393_Q801B","P393_Q801C","P393_Q801D","P393_Q801E","P393_Q801F","P393_Q801G","P393_Q801H","P393_Q802A","P393_Q802B","P393_Q802C","P393_Q802D","P393_Q802E","P393_Q802F","P393_Q802G","P393_Q802H","P393_Q803A","P393_Q803B","P393_Q803C","P393_Q803D","P393_Q803E","P393_Q803F","P393_Q803G","P393_Q803H","P393_Q804A","P393_Q804B","P393_Q804C","P393_Q804D","P393_Q804E","P393_Q804F","P393_Q804G","P393_Q804H","P393_Q805A","P393_Q805B","P393_Q805C","P393_Q805D","P393_Q805E","P393_Q805F","P393_Q805G","P393_Q805H","P393_Q806A","P393_Q806B","P393_Q806C","P393_Q806D","P393_Q806E","P393_Q806F","P393_Q806G","P393_Q806H","P393_Q807A","P393_Q807B","P393_Q807C","P393_Q807D","P393_Q807E","P393_Q807F","P393_Q807G","P393_Q807H","P393_Q808A","P393_Q808B","P393_Q808C","P393_Q808D","P393_Q808E","P393_Q808F","P393_Q808G","P393_Q808H","P393_Q809A","P393_Q809B","P393_Q809C","P393_Q809D","P393_Q809E","P393_Q809F","P393_Q809G","P393_Q809H","P393_Q810A","P393_Q810B","P393_Q810C","P393_Q810D","P393_Q810E","P393_Q810F","P393_Q810G","P393_Q810H","P393_Q811A","P393_Q811B","P393_Q811C","P393_Q811D","P393_Q811E","P393_Q811F","P393_Q811G","P393_Q811H","P393_Q812A","P393_Q812B","P393_Q812C","P393_Q812D","P393_Q812E","P393_Q812F","P393_Q812G","P393_Q812H"
"ERCC-00002",34,12323,15538,12626,19495,12472,16064,13448,9768,12875,11816,13862,14769,12283,15845,11691,12276,15211,12539,12465,15671,17091,10858,10980,9983,11202,13040,12297,13734,18015,15805,14982,7552,7495,13449,16046,16855,13974,15306,12690,6607,14623,9940,11648,15682,14270,16681,11996,8877,9205,10637,12963,15697,14604,14897,11287,8304,13854,13113,12805,16113,18173,12907,13663,7696,13775,15885,12098,18742,13966,16466,13551,9553,10902,12552,15761,11476,17342,18667,14673,11356,14046,10906,11669,13906,14640,16646,14566,6020,15356,17262,13120,13465,14107,14018,13815
"ERCC-00003",4,516,457,923,267,382,1031,549,663,280,906,876,1105,1211,1241,205,442,687,169,496,496,1259,181,538,101,409,569,323,513,229,811,33,273,376,436,403,978,452,529,495,184,527,966,731,771,594,531,383,263,647,34,93,1798,988,153,149,25,128,814,405,898,419,772,569,650,823,804,1035,1380,395,1183,438,490,794,419,743,659,432,980,205,241,501,185,131,888,240,800,362,861,510,506,453,666,523,573,411
"ERCC-00004",13,6096,5484,5182,6675,7622,5533,6174,3708,3326,6812,5901,7501,6229,6543,3316,6497,5660,5080,7390,7307,7027,5456,6251,4635,4448,4934,5335,5197,6944,5489,5748,3230,3198,4560,7495,7978,6024,8236,6328,4891,4680,5821,4462,7000,3538,7966,5153,3628,5283,5502,5711,8066,7162,5814,5165,3155,4607,7158,5525,4906,6008,5426,5459,2648,7737,7486,4416,9116,4998,6111,6620,3145,4893,7736,8888,5950,5463,8413,6343,4031,5541,5643,3766,6527,6820,8455,4984,3283,5933,6833,6454,6092,6784,5024,6881
"ERCC-00009",3,346,31,1241,1251,356,820,161,370,350,0,811,708,551,803,279,374,596,432,332,527,1103,654,532,251,567,778,601,175,261,372,1360,255,432,1644,557,53,59,396,133,7,352,578,133,242,325,435,234,323,260,384,417,701,72,776,682,132,293,495,798,334,737,682,2,0,929,461,723,201,394,876,1636,1,677,347,816,1132,912,584,698,425,356,693,331,2,626,2,828,109,687,1285,968,282,885,187,428
"ERCC-00012",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ERCC-00014",0,0,0,0,1,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00019",0,0,0,81,0,0,0,0,0,2,0,133,0,0,0,0,0,82,1,0,0,0,0,0,123,0,0,0,0,0,0,151,0,0,0,1,162,1,0,0,0,1,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,92,0,0,105,0,0,0,0,0,134,0,1,77,0,300,0,0,0,1,1,0,140,128,0
"ERCC-00022",0,132,33,0,51,371,95,413,0,323,212,0,123,141,0,0,4,1,253,353,138,17,153,97,246,1,221,0,187,232,0,433,0,17,0,116,1,371,3,26,0,147,143,0,149,0,194,43,264,159,301,125,35,0,2,60,397,115,0,139,124,0,0,91,9,0,592,181,105,80,0,208,11,0,1,71,300,161,0,513,125,185,0,2,0,1,118,0,0,387,152,1,194,0,143,149
"ERCC-00024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3
"ERCC-00025",0,0,1,0,0,0,0,0,86,0,0,0,0,121,0,0,0,101,0,0,0,0,0,0,0,0,20,0,0,0,22,0,0,0,0,0,0,0,0,94,0,0,0,0,24,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,90,0,0,0,150,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ERCC-00028",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00033",0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
