"","P391_Q601A","P391_Q601B","P391_Q601C","P391_Q601D","P391_Q601E","P391_Q601F","P391_Q601G","P391_Q601H","P391_Q602A","P391_Q602B","P391_Q602C","P391_Q602D","P391_Q602E","P391_Q602F","P391_Q602G","P391_Q602H","P391_Q603A","P391_Q603B","P391_Q603C","P391_Q603D","P391_Q603E","P391_Q603F","P391_Q603G","P391_Q603H","P391_Q604A","P391_Q604B","P391_Q604C","P391_Q604D","P391_Q604E","P391_Q604F","P391_Q604G","P391_Q604H","P391_Q605A","P391_Q605B","P391_Q605C","P391_Q605D","P391_Q605E","P391_Q605F","P391_Q605G","P391_Q605H","P391_Q606A","P391_Q606B","P391_Q606C","P391_Q606D","P391_Q606E","P391_Q606F","P391_Q606G","P391_Q606H","P391_Q607A","P391_Q607B","P391_Q607C","P391_Q607D","P391_Q607E","P391_Q607F","P391_Q607G","P391_Q607H","P391_Q608A","P391_Q608B","P391_Q608C","P391_Q608D","P391_Q608E","P391_Q608F","P391_Q608G","P391_Q608H","P391_Q609A","P391_Q609B","P391_Q609C","P391_Q609D","P391_Q609E","P391_Q609F","P391_Q609G","P391_Q609H","P391_Q610A","P391_Q610B","P391_Q610C","P391_Q610D","P391_Q610E","P391_Q610F","P391_Q610G","P391_Q610H","P391_Q611A","P391_Q611B","P391_Q611C","P391_Q611D","P391_Q611E","P391_Q611F","P391_Q611G","P391_Q611H","P391_Q612A","P391_Q612B","P391_Q612C","P391_Q612D","P391_Q612E","P391_Q612F","P391_Q612G","P391_Q612H"
"EGFP",0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,2,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ERCC-00002",11007,9074,10105,9466,7632,9425,6911,5644,7722,7381,8337,9051,8194,8307,10723,7407,6831,8211,11060,8345,7505,10263,9003,6400,10625,939,11454,9739,7877,5796,6923,7102,8471,8372,9348,6144,7977,8817,8689,7686,7342,5147,3208,6768,9329,7052,5960,6757,7819,7223,8453,8767,8284,5799,6383,6184,6213,5809,11723,5533,6056,8863,4822,7094,6899,5222,9095,7811,8080,5446,7316,8534,5739,7039,9576,7832,9562,5965,5357,4893,4507,6391,8069,7201,5432,6130,7572,8489,5137,7711,6310,387,7347,7462,7357,6228
"ERCC-00003",692,439,847,270,621,393,427,486,378,453,479,699,422,290,613,836,653,296,320,225,430,379,820,456,658,2,850,774,924,636,343,187,280,169,595,628,162,152,760,118,299,415,80,437,122,435,239,134,337,425,501,738,134,586,201,252,109,522,430,226,374,438,55,440,983,441,494,633,604,386,529,674,249,296,493,743,345,525,976,564,483,923,283,404,351,206,514,229,285,1,669,1,676,439,483,691
"ERCC-00004",4847,5160,3198,2242,5128,3470,2679,2925,5238,5582,4107,4053,3244,3791,3947,3729,4019,3914,4407,4206,4834,5239,4263,4092,5502,1490,5538,6266,4861,2919,3253,2263,4509,3547,5337,4159,2899,5013,3015,3726,2791,3256,2854,3211,4050,2772,2549,4693,4282,3317,3754,3477,4793,3451,1751,3423,3501,3733,3398,3132,2745,3438,2370,4063,3384,2380,5112,3926,3642,3676,3626,3653,2909,2080,3645,3317,4555,2829,3667,2224,3107,2696,3427,2802,2904,3311,2452,3226,3056,4547,2635,224,2944,4272,3084,4087
"ERCC-00009",241,266,554,657,581,778,369,280,580,423,130,763,151,198,605,535,345,304,379,202,458,29,377,389,100,1,496,361,956,713,398,124,693,488,358,403,573,186,531,119,837,329,255,903,85,196,142,788,757,158,291,673,317,153,659,524,200,579,118,603,160,344,425,192,664,152,836,245,284,600,815,799,204,322,161,667,235,433,374,568,309,371,577,784,424,290,268,752,1032,630,496,0,267,17,699,467
"ERCC-00012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00014",0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERCC-00019",0,52,0,0,0,0,0,0,0,0,0,79,0,0,98,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,76,0,0,0,130,0,0,1,0,0,0,0,0,6,246,0,0,0,0,0,0,234,0,0,0,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,0,1,0,0,0,0,0,0,0,0,0,0
"ERCC-00022",158,132,68,0,0,219,1,111,266,34,100,222,115,0,91,156,240,0,0,0,0,0,170,0,0,0,127,204,126,91,118,0,0,180,0,90,1,0,127,0,22,91,27,88,118,0,0,1,0,67,0,0,111,229,103,140,0,3,0,167,0,245,112,0,89,0,279,0,0,77,262,31,92,0,2,143,1,91,0,155,64,13,135,267,52,98,0,1,52,52,0,0,123,263,40,2
"ERCC-00024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
