"","id","total_reads","mapped_reads","genic_reads","total_counts","gene_counts","ERCC_counts","percent_gene","percent_ERCC","gendet","ERCCdet","sample","well"
"P393_Q801A","01A_02232",1259,1175,1038,225,16,209,7.11111111111111,92.8888888888889,16,13,"02232_CB_facs_direct_Plate_1","01A"
"P393_Q801B","01B_02232",310497,261741,228060,170986,107480,63506,62.8589475161709,37.1410524838291,1620,28,"02232_CB_facs_direct_Plate_1","01B"
"P393_Q801C","01C_02232",396191,335689,282737,207101,134744,72357,65.0619745921072,34.9380254078928,1586,28,"02232_CB_facs_direct_Plate_1","01C"
"P393_Q801D","01D_02232",417149,368302,330690,243338,183544,59794,75.4275945392828,24.5724054607172,1763,28,"02232_CB_facs_direct_Plate_1","01D"
"P393_Q801E","01E_02232",280460,253211,228643,170153,75616,94537,44.4400039964032,55.5599960035968,1053,27,"02232_CB_facs_direct_Plate_1","01E"
"P393_Q801F","01F_02232",260923,225439,208365,135974,53420,82554,39.2869224998897,60.7130775001103,843,25,"02232_CB_facs_direct_Plate_1","01F"
"P393_Q801G","01G_02232",185819,154386,140318,110013,26730,83283,24.2971285211748,75.7028714788252,836,30,"02232_CB_facs_direct_Plate_1","01G"
"P393_Q801H","01H_02232",177805,152030,142263,111192,38169,73023,34.327109864019,65.672890135981,859,28,"02232_CB_facs_direct_Plate_1","01H"
"P393_Q802A","02A_02232",167543,140426,127905,93967,44519,49448,47.3772707439846,52.6227292560154,973,23,"02232_CB_facs_direct_Plate_1","02A"
"P393_Q802B","02B_02232",255365,223717,202585,150423,90619,59804,60.2427820213664,39.7572179786336,1224,30,"02232_CB_facs_direct_Plate_1","02B"
"P393_Q802C","02C_02232",204871,164149,152269,111369,43254,68115,38.8384559437545,61.1615440562455,905,29,"02232_CB_facs_direct_Plate_1","02C"
"P393_Q802D","02D_02232",364295,311156,285334,218988,148765,70223,67.932946097503,32.0670539024969,1530,28,"02232_CB_facs_direct_Plate_1","02D"
"P393_Q802E","02E_02232",429388,379508,340546,236336,148849,87487,62.9819409654052,37.0180590345948,1608,28,"02232_CB_facs_direct_Plate_1","02E"
"P393_Q802F","02F_02232",206266,162900,148236,117970,30214,87756,25.6115961685174,74.3884038314826,862,29,"02232_CB_facs_direct_Plate_1","02F"
"P393_Q802G","02G_02232",350551,302697,281829,186476,103829,82647,55.6795512559257,44.3204487440743,1156,25,"02232_CB_facs_direct_Plate_1","02G"
"P393_Q802H","02H_02232",109186,72502,62427,52693,2461,50232,4.67044958533392,95.3295504146661,384,25,"02232_CB_facs_direct_Plate_1","02H"
