"","id","total_reads","mapped_reads","genic_reads","total_counts","gene_counts","ERCC_counts","percent_gene","percent_ERCC","gendet","ERCCdet","sample","well"
"P392_Q705E","05E_62862",137847,113373,106031,44750,6881,37869,15.3765363128492,84.6234636871508,315,22,"62862_CB_facs_direct_Plate_2_1","05E"
"P392_Q705F","05F_62862",111430,93145,80494,57317,4185,53132,7.30149868276428,92.6985013172357,293,21,"62862_CB_facs_direct_Plate_2_1","05F"
"P392_Q705G","05G_62862",186961,165232,157743,109331,29859,79472,27.3106438247158,72.6893561752842,610,23,"62862_CB_facs_direct_Plate_2_1","05G"
"P392_Q705H","05H_62862",119352,98999,95363,66883,2981,63902,4.45703691521014,95.5429630847899,269,25,"62862_CB_facs_direct_Plate_2_1","05H"
"P392_Q706A","06A_62862",23810,20420,19548,13837,1802,12035,13.0230541302305,86.9769458697695,219,23,"62862_CB_facs_direct_Plate_2_1","06A"
"P392_Q706B","06B_62862",30137,26461,25410,16094,661,15433,4.10712066608674,95.8928793339133,110,25,"62862_CB_facs_direct_Plate_2_1","06B"
"P392_Q706C","06C_62862",34768,30323,26605,19395,1626,17769,8.38360402165507,91.6163959783449,198,28,"62862_CB_facs_direct_Plate_2_1","06C"
"P392_Q706D","06D_62862",326252,226080,193064,127463,89830,37633,70.4753536320344,29.5246463679656,1720,31,"62862_CB_facs_direct_Plate_2_1","06D"
"P392_Q706E","06E_62862",102705,90162,85180,57032,16611,40421,29.1257539626876,70.8742460373124,580,26,"62862_CB_facs_direct_Plate_2_1","06E"
"P392_Q706F","06F_62862",77633,69397,66136,47672,1443,46229,3.02693404933714,96.9730659506629,220,25,"62862_CB_facs_direct_Plate_2_1","06F"
"P392_Q706G","06G_62862",499123,453319,421451,265791,186267,79524,70.080251024301,29.919748975699,1447,27,"62862_CB_facs_direct_Plate_2_1","06G"
"P392_Q706H","06H_62862",159514,110375,103847,76646,808,75838,1.05419721838061,98.9458027816194,449,24,"62862_CB_facs_direct_Plate_2_1","06H"
"P392_Q707A","07A_62862",26565,23668,22165,16199,7100,9099,43.8298660411136,56.1701339588863,552,24,"62862_CB_facs_direct_Plate_2_1","07A"
"P392_Q707B","07B_62862",42394,37238,32986,21113,9142,11971,43.3003362857008,56.6996637142992,556,22,"62862_CB_facs_direct_Plate_2_1","07B"
"P392_Q707C","07C_62862",60128,53215,49971,32582,11329,21253,34.7707323061813,65.2292676938187,613,27,"62862_CB_facs_direct_Plate_2_1","07C"
"P392_Q707D","07D_62862",207174,186619,168877,111951,68744,43207,61.4054363069557,38.5945636930443,1191,28,"62862_CB_facs_direct_Plate_2_1","07D"
"P392_Q707E","07E_62862",93170,85163,79550,52438,22107,30331,42.158358442351,57.841641557649,637,23,"62862_CB_facs_direct_Plate_2_1","07E"
"P392_Q707F","07F_62862",194358,174674,160641,103035,48348,54687,46.9238608239918,53.0761391760082,650,22,"62862_CB_facs_direct_Plate_2_1","07F"
"P392_Q707G","07G_62862",223068,164768,153709,97637,30087,67550,30.8151622847896,69.1848377152104,644,25,"62862_CB_facs_direct_Plate_2_1","07G"
"P392_Q707H","07H_62862",89467,77969,76090,54816,535,54281,0.975992410974898,99.0240075890251,236,24,"62862_CB_facs_direct_Plate_2_1","07H"
"P392_Q708A","08A_62862",51009,35890,29286,18715,9365,9350,50.0400748063051,49.9599251936949,729,23,"62862_CB_facs_direct_Plate_2_1","08A"
"P392_Q708B","08B_62862",86391,78985,71974,48710,34772,13938,71.3857524122357,28.6142475877643,1118,24,"62862_CB_facs_direct_Plate_2_1","08B"
"P392_Q708C","08C_62862",71581,62176,56398,36906,20545,16361,55.6684549937679,44.331545006232,875,25,"62862_CB_facs_direct_Plate_2_1","08C"
"P392_Q708D","08D_62862",176661,159148,146369,99852,59340,40512,59.4279533709891,40.5720466290109,912,26,"62862_CB_facs_direct_Plate_2_1","08D"
"P392_Q708E","08E_62862",135278,83619,65352,43100,10633,32467,24.6705336426914,75.3294663573086,762,30,"62862_CB_facs_direct_Plate_2_1","08E"
"P392_Q708F","08F_62862",75921,67261,64683,47550,941,46609,1.97896950578339,98.0210304942166,338,22,"62862_CB_facs_direct_Plate_2_1","08F"
"P392_Q708G","08G_62862",112907,99356,95438,67889,11929,55960,17.5713296704915,82.4286703295085,403,25,"62862_CB_facs_direct_Plate_2_1","08G"
"P392_Q708H","08H_62862",105932,79785,76559,56604,437,56167,0.772030245212352,99.2279697547877,322,24,"62862_CB_facs_direct_Plate_2_1","08H"
"P392_Q709A","09A_62862",22865,20522,20001,14230,515,13715,3.61911454673226,96.3808854532677,103,22,"62862_CB_facs_direct_Plate_2_1","09A"
"P392_Q709B","09B_62862",59367,42594,36866,23785,9369,14416,39.3903720832457,60.6096279167543,740,26,"62862_CB_facs_direct_Plate_2_1","09B"
"P392_Q709C","09C_62862",89497,68211,61562,39339,21330,18009,54.2210020590254,45.7789979409746,895,27,"62862_CB_facs_direct_Plate_2_1","09C"
"P392_Q709D","09D_62862",55036,48578,43967,30732,5464,25268,17.7795132109853,82.2204867890147,589,27,"62862_CB_facs_direct_Plate_2_1","09D"
"P392_Q709E","09E_62862",196037,174636,151131,93937,52873,41064,56.2855956651799,43.7144043348201,970,22,"62862_CB_facs_direct_Plate_2_1","09E"
"P392_Q709F","09F_62862",206086,172531,155967,100379,45589,54790,45.4168700624633,54.5831299375367,810,21,"62862_CB_facs_direct_Plate_2_1","09F"
"P392_Q709G","09G_62862",74070,66741,65599,46620,1506,45114,3.23037323037323,96.7696267696268,294,22,"62862_CB_facs_direct_Plate_2_1","09G"
"P392_Q709H","09H_62862",85400,71766,68865,50438,1506,48932,2.98584400650303,97.014155993497,681,22,"62862_CB_facs_direct_Plate_2_1","09H"
"P392_Q710A","10A_62862",18989,17140,16799,11996,151,11845,1.25875291763921,98.7412470823608,76,26,"62862_CB_facs_direct_Plate_2_1","10A"
"P392_Q710B","10B_62862",28611,23261,21684,15665,1427,14238,9.10947973188637,90.8905202681136,182,23,"62862_CB_facs_direct_Plate_2_1","10B"
"P392_Q710C","10C_62862",59099,44628,36953,25958,2761,23197,10.6364126666153,89.3635873333847,394,25,"62862_CB_facs_direct_Plate_2_1","10C"
"P392_Q710D","10D_62862",44574,38913,34982,25125,1332,23793,5.30149253731343,94.6985074626866,127,27,"62862_CB_facs_direct_Plate_2_1","10D"
"P392_Q710E","10E_62862",192853,164279,148247,93242,54886,38356,58.8640312305613,41.1359687694387,1050,24,"62862_CB_facs_direct_Plate_2_1","10E"
"P392_Q710F","10F_62862",209239,187616,170090,111862,52110,59752,46.5841840839606,53.4158159160394,794,23,"62862_CB_facs_direct_Plate_2_1","10F"
"P392_Q710G","10G_62862",411891,354016,309304,201028,130643,70385,64.9874644328153,35.0125355671847,1239,25,"62862_CB_facs_direct_Plate_2_1","10G"
"P392_Q710H","10H_62862",91348,81475,79848,56934,1306,55628,2.29388414655566,97.7061158534443,538,27,"62862_CB_facs_direct_Plate_2_1","10H"
"P392_Q711A","11A_62862",24301,20869,20045,14479,243,14236,1.67829269977208,98.3217073002279,72,22,"62862_CB_facs_direct_Plate_2_1","11A"
"P392_Q711B","11B_62862",25653,17594,16406,11925,297,11628,2.49056603773585,97.5094339622642,103,23,"62862_CB_facs_direct_Plate_2_1","11B"
"P392_Q711C","11C_62862",33504,23661,20820,14815,582,14233,3.92845089436382,96.0715491056362,164,23,"62862_CB_facs_direct_Plate_2_1","11C"
"P392_Q711D","11D_62862",66920,43415,38624,27627,1047,26580,3.78977087631665,96.2102291236833,205,26,"62862_CB_facs_direct_Plate_2_1","11D"
"P392_Q711E","11E_62862",78800,67881,62072,41993,4711,37282,11.2185364227371,88.7814635772629,391,24,"62862_CB_facs_direct_Plate_2_1","11E"
"P392_Q711F","11F_62862",82802,74458,72391,51627,2483,49144,4.80949890561141,95.1905010943886,298,26,"62862_CB_facs_direct_Plate_2_1","11F"
"P392_Q711G","11G_62862",85595,73090,68811,50191,4923,45268,9.80853141001375,90.1914685899863,283,24,"62862_CB_facs_direct_Plate_2_1","11G"
"P392_Q711H","11H_62862",86604,79253,78423,55482,261,55221,0.470422839839948,99.5295771601601,190,23,"62862_CB_facs_direct_Plate_2_1","11H"
"P392_Q712A","12A_62862",17618,13654,12540,8841,134,8707,1.51566564868228,98.4843343513177,71,23,"62862_CB_facs_direct_Plate_2_1","12A"
"P392_Q712B","12B_62862",19835,17428,16957,12212,64,12148,0.524074680641991,99.475925319358,52,22,"62862_CB_facs_direct_Plate_2_1","12B"
"P392_Q712C","12C_62862",33253,29314,28535,20707,120,20587,0.579514173950838,99.4204858260492,99,20,"62862_CB_facs_direct_Plate_2_1","12C"
"P392_Q712D","12D_62862",37731,30976,29763,21210,261,20949,1.23055162659123,98.7694483734088,202,25,"62862_CB_facs_direct_Plate_2_1","12D"
"P392_Q712E","12E_ERCC",54563,48736,47847,33945,1071,32874,3.15510384445426,96.8448961555457,216,23,"ERCC","12E"
"P392_Q712F","12F_ERCC",92721,40761,38526,27420,719,26701,2.62217359591539,97.3778264040846,406,23,"ERCC","12F"
"P392_Q712G","12G_qRNA",3246334,2948302,2702909,1557839,1513043,44796,97.1244782034601,2.87552179653995,5222,31,"qRNA_CB_10pg","12G"
"P392_Q712H","12H_qRNA",2642735,2261931,2115416,1159080,1112420,46660,95.9743934844877,4.0256065155123,4490,33,"qRNA_CB_10pg","12H"
