"","id","total_reads","mapped_reads","genic_reads","total_counts","gene_counts","ERCC_counts","percent_gene","percent_ERCC","gendet","ERCCdet","sample","well"
"P392_Q701A","01A_62862",53028,33637,29073,18923,6246,12677,33.0074512498018,66.9925487501982,646,28,"62862_CB_facs_direct_Plate_2_1","01A"
"P392_Q701B","01B_62862",73987,63969,58856,38144,21208,16936,55.5998322147651,44.4001677852349,1006,22,"62862_CB_facs_direct_Plate_2_1","01B"
"P392_Q701C","01C_62862",106617,91816,83020,53237,30882,22355,58.0085279035257,41.9914720964743,1103,26,"62862_CB_facs_direct_Plate_2_1","01C"
"P392_Q701D","01D_62862",105910,83924,77833,53545,6276,47269,11.7209823512933,88.2790176487067,623,26,"62862_CB_facs_direct_Plate_2_1","01D"
"P392_Q701E","01E_62862",267393,245654,223260,143231,106098,37133,74.0747463887008,25.9252536112992,1423,24,"62862_CB_facs_direct_Plate_2_1","01E"
"P392_Q701F","01F_62862",129995,86804,77794,54621,1265,53356,2.31595906336391,97.6840409366361,503,30,"62862_CB_facs_direct_Plate_2_1","01F"
"P392_Q701G","01G_62862",195248,120873,107453,75971,2835,73136,3.73168709112688,96.2683129088731,582,26,"62862_CB_facs_direct_Plate_2_1","01G"
"P392_Q701H","01H_62862",239393,125080,108721,77690,11632,66058,14.9723259106706,85.0276740893294,567,23,"62862_CB_facs_direct_Plate_2_1","01H"
"P392_Q702A","02A_62862",71099,61770,56045,35571,19152,16419,53.8416125495488,46.1583874504512,1007,21,"62862_CB_facs_direct_Plate_2_1","02A"
"P392_Q702B","02B_62862",140833,125652,115645,78098,60084,18014,76.9341084278727,23.0658915721273,1704,23,"62862_CB_facs_direct_Plate_2_1","02B"
"P392_Q702C","02C_62862",131541,117450,108035,65341,41408,23933,63.3721553083057,36.6278446916943,1080,27,"62862_CB_facs_direct_Plate_2_1","02C"
"P392_Q702D","02D_62862",187092,160719,145614,96863,51064,45799,52.7177560059052,47.2822439940948,1082,24,"62862_CB_facs_direct_Plate_2_1","02D"
"P392_Q702E","02E_62862",264420,218606,197627,129306,77803,51503,60.1696750344145,39.8303249655855,1348,27,"62862_CB_facs_direct_Plate_2_1","02E"
"P392_Q702F","02F_62862",105285,89407,85312,61350,1697,59653,2.76609616951915,97.2339038304809,276,29,"62862_CB_facs_direct_Plate_2_1","02F"
"P392_Q702G","02G_62862",417289,337106,289861,172893,88555,84338,51.2195404093862,48.7804595906139,1213,27,"62862_CB_facs_direct_Plate_2_1","02G"
"P392_Q702H","02H_62862",161140,116504,106459,75586,793,74793,1.04913608340169,98.9508639165983,402,24,"62862_CB_facs_direct_Plate_2_1","02H"
"P392_Q703A","03A_62862",44672,37222,34131,21921,6479,15442,29.5561333880754,70.4438666119246,424,22,"62862_CB_facs_direct_Plate_2_1","03A"
"P392_Q703B","03B_62862",115285,100245,91479,59246,44594,14652,75.269216487189,24.730783512811,1450,22,"62862_CB_facs_direct_Plate_2_1","03B"
"P392_Q703C","03C_62862",74060,59640,53446,35719,7700,28019,21.5571544556119,78.4428455443881,636,23,"62862_CB_facs_direct_Plate_2_1","03C"
"P392_Q703D","03D_62862",11546310,10358357,8544351,5232639,5181724,50915,99.0269728142912,0.973027185708779,7047,40,"62862_CB_facs_direct_Plate_2_1","03D"
"P392_Q703E","03E_62862",262176,232598,212776,133912,93288,40624,69.663659716829,30.336340283171,1465,28,"62862_CB_facs_direct_Plate_2_1","03E"
"P392_Q703F","03F_62862",106426,91666,85555,63120,1946,61174,3.0830164765526,96.9169835234474,309,21,"62862_CB_facs_direct_Plate_2_1","03F"
"P392_Q703G","03G_62862",171078,139326,127713,86743,10459,76284,12.0574570858744,87.9425429141256,509,27,"62862_CB_facs_direct_Plate_2_1","03G"
"P392_Q703H","03H_62862",251499,132415,116676,81953,4443,77510,5.42140007077227,94.5785999292277,547,35,"62862_CB_facs_direct_Plate_2_1","03H"
"P392_Q704A","04A_62862",43713,38177,34558,22110,9927,12183,44.8982360922659,55.1017639077341,567,23,"62862_CB_facs_direct_Plate_2_1","04A"
"P392_Q704B","04B_62862",63132,47469,41737,26776,9088,17688,33.9408425455632,66.0591574544368,684,25,"62862_CB_facs_direct_Plate_2_1","04B"
"P392_Q704C","04C_62862",121034,105202,95112,59457,35840,23617,60.2788569890846,39.7211430109154,1149,27,"62862_CB_facs_direct_Plate_2_1","04C"
"P392_Q704D","04D_62862",124358,100846,91789,56220,12405,43815,22.0651013874066,77.9348986125934,483,28,"62862_CB_facs_direct_Plate_2_1","04D"
"P392_Q704E","04E_62862",247187,215463,194182,125981,78744,47237,62.5046634016241,37.4953365983759,1239,24,"62862_CB_facs_direct_Plate_2_1","04E"
"P392_Q704F","04F_62862",121682,104421,100415,70820,5925,64895,8.36628071166337,91.6337192883366,367,25,"62862_CB_facs_direct_Plate_2_1","04F"
"P392_Q704G","04G_62862",131682,102954,94682,70495,2500,67995,3.54635080502163,96.4536491949784,398,25,"62862_CB_facs_direct_Plate_2_1","04G"
"P392_Q704H","04H_62862",145420,131178,124508,87954,12154,75800,13.8185869886532,86.1814130113468,2077,25,"62862_CB_facs_direct_Plate_2_1","04H"
"P392_Q705A","05A_62862",23637,19493,18403,13469,1283,12186,9.52557725146633,90.4744227485337,210,23,"62862_CB_facs_direct_Plate_2_1","05A"
"P392_Q705B","05B_62862",48087,33268,29826,20603,4547,16056,22.0696015143426,77.9303984856574,451,29,"62862_CB_facs_direct_Plate_2_1","05B"
"P392_Q705C","05C_62862",69292,61383,56401,37727,20681,17046,54.8175047048533,45.1824952951467,907,26,"62862_CB_facs_direct_Plate_2_1","05C"
"P392_Q705D","05D_62862",327413,293460,268926,179648,139794,39854,77.8155058781617,22.1844941218383,1690,28,"62862_CB_facs_direct_Plate_2_1","05D"
