"","id","total_reads","mapped_reads","genic_reads","total_counts","gene_counts","ERCC_counts","percent_gene","percent_ERCC","gendet","ERCCdet","sample","well"
"P391_Q601A","01A_62862",226591,202331,185857,154378,84926,69452,55.0117244685124,44.9882755314876,1251,30,"62862_CB_facs_direct_Plate_1_1","01A"
"P391_Q601B","01B_62862",74711,64988,61557,55600,3948,51652,7.10071942446043,92.8992805755396,465,28,"62862_CB_facs_direct_Plate_1_1","01B"
"P391_Q601C","01C_62862",116496,105036,98121,83676,25723,57953,30.7411922176012,69.2588077823988,782,27,"62862_CB_facs_direct_Plate_1_1","01C"
"P391_Q601D","01D_62862",113456,94438,85127,74356,25505,48851,34.3011996341923,65.6988003658077,852,29,"62862_CB_facs_direct_Plate_1_1","01D"
"P391_Q601E","01E_62862",172526,157661,147509,122732,64407,58325,52.4777564123456,47.5222435876544,1041,24,"62862_CB_facs_direct_Plate_1_1","01E"
"P391_Q601F","01F_62862",75631,69460,65065,58426,5105,53321,8.7375483517612,91.2624516482388,403,25,"62862_CB_facs_direct_Plate_1_1","01F"
"P391_Q601G","01G_62862",156815,135634,116264,97120,58482,38638,60.2162273476112,39.7837726523888,1230,25,"62862_CB_facs_direct_Plate_1_1","01G"
"P391_Q601H","01H_62862",75058,60482,53435,46456,4685,41771,10.0848114344756,89.9151885655244,564,27,"62862_CB_facs_direct_Plate_1_1","01H"
"P391_Q602A","02A_62862",156207,131766,122761,100611,42686,57925,42.4267724205107,57.5732275794893,999,29,"62862_CB_facs_direct_Plate_1_1","02A"
"P391_Q602B","02B_62862",270399,241544,223760,179281,115898,63383,64.6460026438942,35.3539973561058,1558,24,"62862_CB_facs_direct_Plate_1_1","02B"
"P391_Q602C","02C_62862",101818,80985,71576,59932,11682,48250,19.492091036508,80.507908963492,935,30,"62862_CB_facs_direct_Plate_1_1","02C"
"P391_Q602D","02D_62862",65461,58650,57119,52302,1255,51047,2.39952583075217,97.6004741692478,318,20,"62862_CB_facs_direct_Plate_1_1","02D"
"P391_Q602E","02E_62862",79145,72140,69187,58777,10651,48126,18.1210337376865,81.8789662623135,385,29,"62862_CB_facs_direct_Plate_1_1","02E"
"P391_Q602F","02F_62862",92803,79017,74808,67191,11669,55522,17.3669092586805,82.6330907413195,539,25,"62862_CB_facs_direct_Plate_1_1","02F"
