"","P393_Q801A","P393_Q801B","P393_Q801C","P393_Q801D","P393_Q801E","P393_Q801F","P393_Q801G","P393_Q801H","P393_Q802A","P393_Q802B","P393_Q802C","P393_Q802D","P393_Q802E","P393_Q802F","P393_Q802G","P393_Q802H","P393_Q803A","P393_Q803B","P393_Q803C","P393_Q803D","P393_Q803E","P393_Q803F","P393_Q803G","P393_Q803H","P393_Q804A","P393_Q804B","P393_Q804C","P393_Q804D","P393_Q804E","P393_Q804F","P393_Q804G","P393_Q804H","P393_Q805A","P393_Q805B","P393_Q805C","P393_Q805D","P393_Q805E","P393_Q805F","P393_Q805G","P393_Q805H","P393_Q806A","P393_Q806B","P393_Q806C","P393_Q806D","P393_Q806E","P393_Q806F","P393_Q806G","P393_Q806H","P393_Q807A","P393_Q807B","P393_Q807C","P393_Q807D","P393_Q807E","P393_Q807F","P393_Q807G","P393_Q807H","P393_Q808A","P393_Q808B","P393_Q808C","P393_Q808D","P393_Q808E","P393_Q808F","P393_Q808G","P393_Q808H","P393_Q809A","P393_Q809B","P393_Q809C","P393_Q809D","P393_Q809E","P393_Q809F","P393_Q809G","P393_Q809H","P393_Q810A","P393_Q810B","P393_Q810C","P393_Q810D","P393_Q810E","P393_Q810F","P393_Q810G","P393_Q810H","P393_Q811A","P393_Q811B","P393_Q811C","P393_Q811D","P393_Q811E","P393_Q811F","P393_Q811G","P393_Q811H","P393_Q812A","P393_Q812B","P393_Q812C","P393_Q812D","P393_Q812E","P393_Q812F","P393_Q812G","P393_Q812H"
"EGFP",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000017",0,0,0,102,0,0,4,0,23,0,0,69,74,1,116,0,2,0,0,78,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,8,0,0,0,0,1,0,0,0,1,0,0,7,0,2,0,0,125,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,170,1,0,0,0,0,0,0,1,0,72,143,0,0,0,117,0,22,1,2,383,1198
"FBgn0000018",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,8
"FBgn0000022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0000024",0,118,545,357,91,189,22,2,0,66,170,569,420,1,278,0,0,282,0,291,0,0,312,0,0,0,288,2,666,1,2,1,0,177,168,0,1,156,0,0,19,444,342,416,0,372,70,281,1,2,1,932,224,200,6,0,1,644,142,222,122,79,2,6,257,405,0,454,374,114,1,0,0,302,0,3,0,0,0,1224,0,158,61,1,111,78,9,0,0,86,264,10,1,0,5691,3303
"FBgn0000028",0,1,1,1,0,0,0,1,0,0,0,0,0,2,493,0,1,1,1,1,0,1,3,1,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,100,244,0,0,1,1,1,22,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,277,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,2,0,1,0,0,327,281
"FBgn0000032",0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
