"","id","total_reads","mapped_reads","genic_reads","total_counts","gene_counts","ERCC_counts","percent_gene","percent_ERCC","gendet","ERCCdet","sample","well"
"P387_Q601A","01A_02232",367925,191869,140585,60330,45801,14529,75.9174540029836,24.0825459970164,1358,22,"02232_CB_facs_presort_Plate_2_1","01A"
"P387_Q601B","01B_02232",354563,229629,168151,70653,59267,11386,83.8846191952217,16.1153808047783,1300,18,"02232_CB_facs_presort_Plate_2_1","01B"
"P387_Q601C","01C_02232",681241,542087,459829,243330,228814,14516,94.0344388279292,5.96556117207085,2111,19,"02232_CB_facs_presort_Plate_2_1","01C"
"P387_Q601D","01D_02232",177553,82521,49053,19963,8309,11654,41.6220007012974,58.3779992987026,670,17,"02232_CB_facs_presort_Plate_2_1","01D"
"P387_Q601E","01E_02232",179199,80736,47238,24297,5580,18717,22.9657982466971,77.0342017533029,629,19,"02232_CB_facs_presort_Plate_2_1","01E"
"P387_Q601F","01F_02232",204734,132496,102348,49187,34214,14973,69.5590298249537,30.4409701750462,786,22,"02232_CB_facs_presort_Plate_2_1","01F"
"P387_Q601G","01G_02232",335452,214076,167469,86360,73497,12863,85.1053728578045,14.8946271421955,1503,22,"02232_CB_facs_presort_Plate_2_1","01G"
"P387_Q601H","01H_02232",636951,292593,162011,68978,57906,11072,83.948505320537,16.051494679463,1765,24,"02232_CB_facs_presort_Plate_2_1","01H"
"P387_Q602A","02A_02232",117988,54005,34493,17786,5485,12301,30.8388620263128,69.1611379736872,559,19,"02232_CB_facs_presort_Plate_2_1","02A"
"P387_Q602B","02B_02232",188265,99810,66526,32164,15772,16392,49.0361895286656,50.9638104713344,855,20,"02232_CB_facs_presort_Plate_2_1","02B"
"P387_Q602C","02C_02232",347133,168985,83078,35008,25155,9853,71.8550045703839,28.1449954296161,1213,22,"02232_CB_facs_presort_Plate_2_1","02C"
"P387_Q602D","02D_02232",201090,97606,62635,29842,18376,11466,61.577642249179,38.422357750821,958,20,"02232_CB_facs_presort_Plate_2_1","02D"
"P387_Q602E","02E_02232",284966,179150,128401,58434,44202,14232,75.6443166649553,24.3556833350447,992,17,"02232_CB_facs_presort_Plate_2_1","02E"
"P387_Q602F","02F_02232",429791,257303,194475,84013,67437,16576,80.2697201623558,19.7302798376442,1276,19,"02232_CB_facs_presort_Plate_2_1","02F"
"P387_Q602G","02G_02232",393008,277151,221383,101560,86763,14797,85.4302875147696,14.5697124852304,1276,19,"02232_CB_facs_presort_Plate_2_1","02G"
"P387_Q602H","02H_02232",720346,542260,464477,230505,211513,18992,91.7606993340708,8.23930066592916,1953,22,"02232_CB_facs_presort_Plate_2_1","02H"
"P387_Q603A","03A_02232",192765,89350,58619,28124,18373,9751,65.3285450149339,34.6714549850661,795,21,"02232_CB_facs_presort_Plate_2_1","03A"
"P387_Q603B","03B_02232",117826,55725,32080,16997,2948,14049,17.3442372183326,82.6557627816673,386,21,"02232_CB_facs_presort_Plate_2_1","03B"
"P387_Q603C","03C_02232",588276,404555,338428,159536,145863,13673,91.4295206097683,8.57047939023167,1843,26,"02232_CB_facs_presort_Plate_2_1","03C"
"P387_Q603D","03D_02232",392297,244197,193750,91997,76621,15376,83.2864115134189,16.7135884865811,1489,29,"02232_CB_facs_presort_Plate_2_1","03D"
"P387_Q603E","03E_02232",405218,284408,228786,113159,97091,16068,85.8005107857086,14.1994892142914,1512,22,"02232_CB_facs_presort_Plate_2_1","03E"
"P387_Q603F","03F_02232",612412,424161,330464,164884,149398,15486,90.6079425535528,9.3920574464472,1885,18,"02232_CB_facs_presort_Plate_2_1","03F"
"P387_Q603G","03G_02232",187996,81740,42846,20603,3792,16811,18.4050866378683,81.5949133621317,460,19,"02232_CB_facs_presort_Plate_2_1","03G"
"P387_Q603H","03H_02232",397960,257503,197214,94463,78540,15923,83.1436647152854,16.8563352847146,1290,19,"02232_CB_facs_presort_Plate_2_1","03H"
"P387_Q604A","04A_02232",411149,305238,255265,122514,110427,12087,90.134188745776,9.86581125422401,1624,21,"02232_CB_facs_presort_Plate_2_1","04A"
"P387_Q604B","04B_02232",220141,163694,138716,63564,49844,13720,78.4154552891574,21.5845447108426,1080,22,"02232_CB_facs_presort_Plate_2_1","04B"
