"","logFC","logCPM","F","PValue","FDR","mean1","mean2","frac1","frac2"
"FBgn0011581",9.8758441474801,7.58511775857791,164.867158730343,3.8728172526219e-05,0.110867670729912,0.140226277535007,376.630015787982,0.5,1
"FBgn0032840",8.77848563468567,7.0402277302155,158.958496690388,4.24774325734569e-05,0.110867670729912,0.311501085493745,255.604808739979,1,1
"FBgn0031424",7.00966949526239,8.12923409350288,151.942095559105,4.76148023090384e-05,0.110867670729912,4.05282864704436,548.669145000275,1,1
"FBgn0004516",7.30310081654674,7.91627476066281,144.307394450343,5.42360867653209e-05,0.110867670729912,2.62597711564584,473.234384113334,1,1
"FBgn0250839",9.29099352528937,6.65045982791134,141.499673748727,5.6992372163105e-05,0.110867670729912,0.0266855818815146,193.528255122659,0.5,1
"FBgn0260964",7.84067916288076,7.10846904224955,124.183454412228,7.91601010183128e-05,0.110867670729912,0.819575554159058,267.843330475243,1,1
"FBgn0267673",8.53787100222022,6.21741269748557,112.076114067228,0.000102374299988893,0.110867670729912,0.116855231279173,141.273782580321,0.5,1
"ERCC-00002",-6.14502633483157,8.07861764677377,108.318125055413,0.000111488141924122,0.110867670729912,523.442081114121,7.11764031961873,1,1
"FBgn0000179",7.81321743609178,5.79299732559211,101.362340715738,0.000131571427169314,0.110867670729912,0.165694149623913,103.214397577324,1,1
"FBgn0032048",7.8200048717834,6.22707053345782,100.957849667171,0.000132888971982855,0.110867670729912,0.311331788617671,142.071750993705,0.5,1
"FBgn0268063",8.10620893210392,5.65625242297101,99.6342375083988,0.000137330281732439,0.110867670729912,0.0533711637630293,93.2733964229415,0.5,1
"ERCC-00074",-5.31662097572733,7.48143010727436,98.0527453590011,0.00014291091226244,0.110867670729912,338.894460465846,8.22754821518861,1,1
"FBgn0066292",8.0074868711694,5.44193924857179,92.9295315115792,0.000163304128623757,0.110867670729912,0.0266855818815146,79.3281154105299,0.5,1
"FBgn0266707",5.07554687111142,7.09230306173225,92.0353363339709,0.0001672708124448,0.110867670729912,7.2638080540805,258.235267194645,1,1
"ERCC-00096",-6.12724337527947,7.59703652346211,91.6690175779565,0.000168934368148457,0.110867670729912,372.154278210047,5.0437032845924,1,1
"FBgn0051665",4.92380175024131,6.60760814891061,91.4564191760936,0.000169910355476217,0.110867670729912,5.69703620723903,181.87241595134,1,1
"FBgn0002940",10.7504510181447,7.93055925469735,157.436367247022,0.000172701603071682,0.110867670729912,0,480.692395464908,0,1
"ERCC-00113",-5.4938695652409,6.44665307511183,88.159686204987,0.000186098075082787,0.110867670729912,160.97788576771,3.29612938423307,1,1
"FBgn0262116",7.70388961630084,5.40478932430486,83.8174139371374,0.000210863851996868,0.110867670729912,0.105169708151255,77.0304589177282,0.5,1
"FBgn0034808",7.26118089337861,8.3229027917797,83.340682732586,0.000213855897675117,0.110867670729912,3.5584161779541,629.617914317732,1,1
"FBgn0000036",4.81885159130821,6.47267507422135,81.6811331923259,0.000224742267497012,0.110867670729912,5.48147104218389,164.641937494678,1,1
"FBgn0003248",9.87288973875218,7.07050916698586,137.0363133288,0.000229617110192166,0.110867670729912,0,261.507052306377,0,1
"FBgn0267501",-9.92886409936079,7.14186259026929,127.398736884645,0.000266589445219553,0.110867670729912,271.776627868088,0,1,0
"ERCC-00004",-4.37039574055048,7.19663723085711,74.6383643636401,0.000280590601605075,0.110867670729912,270.312979950952,12.8001818493083,1,1
"ERCC-00136",-5.25883544758188,5.87944940114979,72.2215267307437,0.000304187675211824,0.110867670729912,105.189819586837,2.472245691837,1,1
"FBgn0004045",7.26783947671368,6.29313376990208,71.530031768778,0.000311443245064497,0.110867670729912,0.782930049570457,148.636956220832,0.5,1
"FBgn0001230",-4.28514389688886,6.48559006590063,70.8327733973755,0.000319004175812201,0.110867670729912,161.054016053545,7.99135081934355,1,1
"FBgn0050035",5.37291750480299,5.37678421522513,69.1352112043801,0.000338507359654842,0.110867670729912,1.49890851495306,73.9451633174417,1,1
"FBgn0039232",9.15585241995121,6.3783209214159,113.318439414159,0.000338617413350778,0.110867670729912,0,158.977174467928,0,1
"ERCC-00171",-5.95810431948445,6.68874589050851,68.1551147811977,0.000350525672443672,0.110867670729912,193.696816142165,2.83441169767617,1,1
"FBgn0000411",6.71457328324047,4.83671460529187,66.4292909012403,0.000373168021434031,0.110867670729912,0.191331318588892,49.1950662625177,1,1
"FBgn0265067",4.98333781063415,5.77644816879154,66.3084494918295,0.000374828506661683,0.110867670729912,2.78451798756013,99.2391929504403,1,1
"FBgn0259789",6.57738201549807,4.98033305932722,65.3064650946912,0.000388999262351837,0.110867670729912,0.278017135484796,55.12726848754,1,1
"FBgn0259245",7.10990626993233,4.84280492480919,63.9156032321013,0.000409928344795589,0.110867670729912,0.0934841850233381,49.5445164844277,0.5,1
"FBgn0005775",3.82813723999408,6.46416281720418,63.8367662239166,0.000411160918240134,0.110867670729912,10.8457156276764,158.138519323816,1,1
"FBgn0267978",5.31305629978206,5.18379047583946,62.588934717955,0.000431372704265077,0.110867670729912,1.35222246304277,63.6432363534877,1,1
"FBgn0262716",6.95971321051696,4.713985702028,62.29076521115,0.000436405322473237,0.110867670729912,0.0906938558559257,44.6022846364192,1,1
"FBgn0003256",3.39552330096695,7.90699321846889,60.9543473115425,0.000459989775161642,0.110867670729912,40.7842481644454,431.711058183944,1,1
"FBgn0038343",7.02414594035348,4.72959875362913,59.6448949241365,0.000484845167349752,0.110867670729912,0.0622663577235341,45.2049292635749,0.5,1
"FBgn0250867",3.56608538100795,6.53387797263726,58.6909182078765,0.00050413837898696,0.110867670729912,13.5895800716879,164.110720700533,1,1
"FBgn0033357",5.13864456121586,5.31820371362347,58.6070289439608,0.000505885497878849,0.110867670729912,1.7906916835688,70.3365588227785,1,1
"FBgn0032336",3.77542642670176,6.47623422480924,58.5452295142424,0.000507177930198447,0.110867670729912,11.2561285754822,159.191966686536,1,1
"FBgn0011227",6.22569380595408,4.72801573881899,58.4890385527206,0.000508357042459127,0.110867670729912,0.332081802582167,44.8663090477079,1,1
"FBgn0267578",5.74436319045529,5.21381975130518,58.1918716366547,0.000514656344770151,0.110867670729912,0.898059680428798,65.6350174834006,1,1
"ERCC-00003",-5.10680426944838,5.40112373861222,57.3541771793649,0.000533006114079473,0.110867670729912,72.6839721102575,1.8352082796763,1,1
"FBgn0058470",6.4509257747552,4.4479652909379,57.0679659602873,0.000539483208784324,0.110867670729912,0.129589167323625,35.6238685573461,1,1
"FBgn0029922",6.05229485026289,5.04337076009847,56.2585343810963,0.000558401624975429,0.110867670729912,0.647066720577665,57.5993782674573,1,1
"FBgn0004102",6.64152576414477,4.51540111746475,55.9502647269343,0.000565848366427302,0.110867670729912,0.11406490211176,37.7580716589749,1,1
"FBgn0037835",6.76925589021573,4.44592750469992,55.5051108970013,0.000576846522544046,0.110867670729912,0.0444759698025244,35.6512198810706,0.5,1
